x,one,logn,n,nlogn,nsquare
0,0,0,0,0,0
1,0.000000109,0.000001728,0.000015889,0.000131000,0.003435488
2,0.000000084,0.000001929,0.000015831,0.000119000,0.003483649
3,0.000000077,0.000001714,0.000015135,0.000120000,0.003501437
4,0.000000075,0.000001736,0.000015347,0.000118000,0.003600265
5,0.000000080,0.000001762,0.000015491,0.000127000,0.003535368
6,0.000000098,0.000001815,0.000015857,0.000119000,0.003352896
7,0.000000072,0.000001576,0.000014745,0.000114000,0.004056206
8,0.000000109,0.000001924,0.000017722,0.000131000,0.003740343
9,0.000000086,0.000002318,0.000016135,0.000124000,0.003784757
10,0.000000078,0.000001801,0.000015902,0.000128000,0.003664266
11,0.000000082,0.000001865,0.000016516,0.000126000,0.003609738
12,0.000000085,0.000001941,0.000017101,0.000122000,0.003704679
13,0.000000081,0.000001683,0.000016090,0.000124000,0.003627014
14,0.000000080,0.000001637,0.000016592,0.000125000,0.003619812
15,0.000000095,0.000001872,0.000015973,0.000128000,0.003634720
16,0.000000126,0.000001993,0.000016361,0.000126000,0.003680898
17,0.000000095,0.000001750,0.000020868,0.000127000,0.003728244
18,0.000000078,0.000001704,0.000016534,0.000119000,0.003456733
19,0.000000126,0.000002035,0.000019040,0.000128000,0.003302178
20,0.000000071,0.000001481,0.000013770,0.000103000,0.003292368
21,0.000000104,0.000002023,0.000017215,0.000133000,0.003859542
22,0.000000096,0.000001822,0.000015805,0.000122000,0.003577546
23,0.000000096,0.000001787,0.000015955,0.000122000,0.003573507
24,0.000000078,0.000001887,0.000016140,0.000122000,0.003665161
25,0.000000095,0.000001894,0.000016375,0.000125000,0.003692795
26,0.000000081,0.000001767,0.000016017,0.000130000,0.003524170
27,0.000000079,0.000001776,0.000015536,0.000119000,0.003659000
28,0.000000083,0.000001731,0.000017097,0.000121000,0.003605520
29,0.000000077,0.000001902,0.000016017,0.000125000,0.003826262
30,0.000000083,0.000001847,0.000016239,0.000122000,0.003603734
31,0.000000081,0.000001664,0.000016414,0.000126000,0.004587641
32,0.000000116,0.000001784,0.000015977,0.000118000,0.003506202
33,0.000000080,0.000001737,0.000016528,0.000124000,0.003558821
34,0.000000076,0.000001737,0.000015338,0.000118000,0.003325405
35,0.000000083,0.000001902,0.000016537,0.000126000,0.003837867
36,0.000000082,0.000001914,0.000016183,0.000126000,0.003627306
37,0.000000082,0.000001870,0.000015872,0.000123000,0.003779523
38,0.000000082,0.000001693,0.000015930,0.000120000,0.003598322
39,0.000000081,0.000001714,0.000015753,0.000133000,0.003597652
40,0.000000079,0.000001906,0.000016118,0.000131000,0.003691114
41,0.000000082,0.000001929,0.000016654,0.000125000,0.003613920
42,0.000000096,0.000001776,0.000015930,0.000125000,0.003564410
43,0.000000085,0.000001830,0.000016381,0.000127000,0.003626324
44,0.000000086,0.000001855,0.000017960,0.000121000,0.003674711
45,0.000000081,0.000001771,0.000016333,0.000126000,0.003216961
46,0.000000073,0.000001482,0.000014028,0.000116000,0.003698335
47,0.000000079,0.000001786,0.000015865,0.000124000,0.003509336
48,0.000000083,0.000001843,0.000016104,0.000124000,0.003622237
49,0.000000082,0.000001846,0.000016201,0.000122000,0.003740270
