n,times
0,0
1,0.00000326
2,0.00000236
3,0.00000179
4,0.00000217
5,0.00000206
6,0.00000210
7,0.00000242
8,0.00000228
9,0.00000282
10,0.00000371
11,0.00000337
12,0.00000337
13,0.00000359
14,0.00000402
15,0.00000416
16,0.00000449
17,0.00000461
18,0.00000480
19,0.00000828
20,0.00000496
21,0.00000614
22,0.00000608
23,0.00000541
24,0.00000565
25,0.00000638
26,0.00000650
27,0.00000668
28,0.00000575
29,0.00000688
30,0.00000674
31,0.00000715
32,0.00000681
33,0.00000679
34,0.00000773
35,0.00000750
36,0.00000765
37,0.00000845
38,0.00000847
39,0.00000915
40,0.00001133
41,0.00000933
42,0.00001047
43,0.00000871
44,0.00001120
45,0.00000943
46,0.00000953
47,0.00001014
48,0.00001029
49,0.00001066
50,0.00001093
51,0.00001094
52,0.00001248
53,0.00001136
54,0.00001258
55,0.00001276
56,0.00001316
57,0.00001265
58,0.00001322
59,0.00001649
60,0.00001317
61,0.00001383
62,0.00001363
63,0.00001314
64,0.00001334
65,0.00001381
66,0.00001576
67,0.00001394
68,0.00001499
69,0.00001480
70,0.00001502
71,0.00001467
72,0.00001537
73,0.00001565
74,0.00001673
75,0.00001614
76,0.00001797
77,0.00001640
78,0.00001623
79,0.00001661
80,0.00001657
81,0.00001736
82,0.00001774
83,0.00001831
84,0.00001792
85,0.00001909
86,0.00001949
87,0.00001828
88,0.00001958
89,0.00001947
90,0.00002086
91,0.00002046
92,0.00004018
93,0.00003309
94,0.00003385
95,0.00003347
96,0.00003463
97,0.00003524
98,0.00003477
99,0.00003634
100,0.00003841
101,0.00003614
102,0.00003609
103,0.00003895
104,0.00003854
105,0.00003884
106,0.00003813
107,0.00003692
108,0.00003665
109,0.00002249
110,0.00002371
111,0.00016474
112,0.00002773
113,0.00002845
114,0.00002726
115,0.00002672
116,0.00002786
117,0.00002647
118,0.00002867
119,0.00002820
120,0.00002812
121,0.00002789
122,0.00003051
123,0.00002948
124,0.00002875
125,0.00002916
126,0.00003128
127,0.00003120
128,0.00004278
129,0.00004050
130,0.00004219
131,0.00004172
132,0.00004143
133,0.00004266
134,0.00004226
135,0.00004350
136,0.00004365
137,0.00004412
138,0.00004418
139,0.00004192
140,0.00004133
141,0.00004098
142,0.00004072
143,0.00004210
144,0.00003019
145,0.00003053
146,0.00003075
147,0.00003079
148,0.00003123
149,0.00003107
150,0.00003162
151,0.00003189
152,0.00003226
153,0.00003233
154,0.00003086
155,0.00003204
156,0.00003326
157,0.00003158
158,0.00003316
159,0.00003373
160,0.00003371
161,0.00003248
162,0.00003393
163,0.00003397
164,0.00003452
165,0.00003443
166,0.00003504
167,0.00003430
168,0.00003538
169,0.00003534
170,0.00003636
171,0.00003713
172,0.00003346
173,0.00003397
174,0.00003718
175,0.00003759
176,0.00003842
177,0.00003843
178,0.00003569
179,0.00005362
180,0.00005363
181,0.00005346
182,0.00005236
183,0.00008164
184,0.00006241
185,0.00005316
186,0.00005415
187,0.00003604
188,0.00003717
189,0.00003514
190,0.00003610
191,0.00003656
192,0.00003670
193,0.00003687
194,0.00003947
195,0.00004136
196,0.00004095
197,0.00004186
198,0.00004142
199,0.00004159
200,0.00004169
201,0.00004213
202,0.00004165
203,0.00004230
204,0.00004242
205,0.00004118
206,0.00004191
207,0.00004351
208,0.00004350
209,0.00004052
210,0.00004188
211,0.00004549
212,0.00004164
213,0.00004428
214,0.00004478
215,0.00004313
216,0.00004445
217,0.00004487
218,0.00004585
219,0.00004476
220,0.00004554
221,0.00004594
222,0.00004402
223,0.00004150
224,0.00004460
225,0.00004646
226,0.00004624
227,0.00004713
228,0.00004721
229,0.00004649
230,0.00004663
231,0.00004746
