n,times
0,0
1,0.00000077
2,0.00000086
3,0.00000073
4,0.00000158
5,0.00000129
6,0.00000229
7,0.00000208
8,0.00000208
9,0.00000358
10,0.00000370
11,0.00000513
12,0.00000458
13,0.00000589
14,0.00000648
15,0.00000626
16,0.00001034
17,0.00001356
18,0.00002460
19,0.00001744
20,0.00002869
21,0.00003225
22,0.00002586
23,0.00002609
24,0.00002666
25,0.00004145
26,0.00004037
27,0.00002889
28,0.00005135
29,0.00004677
30,0.00005329
31,0.00005534
32,0.00006700
33,0.00004509
34,0.00004631
35,0.00005554
36,0.00007376
37,0.00006729
38,0.00007262
39,0.00007480
40,0.00007740
41,0.00008602
42,0.00009401
43,0.00009646
44,0.00008780
45,0.00010236
46,0.00011202
47,0.00011611
48,0.00008711
49,0.00008215
50,0.00009455
51,0.00009157
52,0.00010014
53,0.00010116
54,0.00010871
55,0.00011568
56,0.00011669
57,0.00010855
58,0.00011980
59,0.00013819
60,0.00013513
61,0.00014179
62,0.00013294
63,0.00014910
64,0.00015395
65,0.00015089
66,0.00017230
67,0.00018186
68,0.00016987
69,0.00017510
70,0.00020419
71,0.00021177
72,0.00020999
73,0.00019511
74,0.00021905
75,0.00022117
76,0.00023658
77,0.00021205
78,0.00020655
79,0.00022597
80,0.00021816
81,0.00023336
82,0.00023056
83,0.00023345
84,0.00025194
85,0.00026055
86,0.00026651
87,0.00025849
88,0.00027544
89,0.00026600
90,0.00026494
91,0.00030553
92,0.00032486
93,0.00032498
94,0.00032902
95,0.00034442
96,0.00033859
97,0.00036196
98,0.00034842
99,0.00036321
100,0.00037866
101,0.00037401
102,0.00228898
103,0.00315273
104,0.00337357
105,0.00041036
106,0.00037997
107,0.00040158
108,0.00040288
109,0.00044098
110,0.00049291
111,0.00072080
112,0.00059708
113,0.00042843
114,0.00045147
115,0.00045996
116,0.00044970
117,0.00044080
118,0.00046122
119,0.00047311
120,0.00044935
121,0.00047771
122,0.00051513
123,0.00051574
124,0.00049826
125,0.00051958
126,0.00055049
127,0.00052460
128,0.00450100
129,0.00488867
130,0.00056291
131,0.00054831
132,0.00058515
133,0.00070489
134,0.00074274
135,0.00077792
136,0.00078015
137,0.00064587
138,0.00065470
139,0.00064129
140,0.00067900
141,0.00071540
142,0.00066951
143,0.00063312
144,0.00065013
145,0.00064777
146,0.00071126
147,0.00069573
148,0.00087602
149,0.00093908
150,0.00077234
151,0.00081123
152,0.00070546
153,0.00072881
154,0.00072189
155,0.00072569
156,0.00079644
157,0.00078072
158,0.00074994
159,0.00077026
160,0.00083384
161,0.00083051
162,0.00103822
163,0.00098272
164,0.00094527
165,0.00097690
166,0.00112747
167,0.00114298
168,0.00099773
169,0.00094563
170,0.00121352
171,0.00158560
172,0.00101571
173,0.00130028
174,0.00865473
175,0.00093368
176,0.00098987
177,0.00098193
178,0.00115612
179,0.00106193
180,0.00631269
181,0.00419987
182,0.00113504
183,0.00146202
184,0.00165229
185,0.00946246
186,0.00106000
187,0.00107247
188,0.00506859
189,0.00559848
190,0.00114752
191,0.00129790
192,0.00203747
193,0.00893073
194,0.00111549
195,0.00111660
196,0.00132005
197,0.00110424
198,0.00119402
199,0.00116939
200,0.00125915
201,0.00122321
202,0.00142880
203,0.00146842
204,0.00173093
205,0.00177075
206,0.00138457
207,0.00140189
208,0.00153893
209,0.00120690
210,0.00135200
211,0.00196817
212,0.00240150
213,0.00978243
214,0.00905278
215,0.00133320
216,0.00165561
217,0.01073532
