x,one,nsquare,nlogn,n,logn
1,0.000000064,0.075639927,0.000825,0.000037115,0.000000912
2,0.000000066,0.07685541,0.000871,0.000048581,0.00000088
3,0.000000061,0.075151991,0.000881,0.000037525,0.000000897
4,0.000000062,0.075186784,0.000813,0.000048665,0.000000826
5,0.000000069,0.074476207,0.000777,0.00005754,0.000000953
6,0.000000089,0.075339364,0.000715,0.000042005,0.000000796
7,0.000000084,0.072009641,0.000798,0.000045812,0.0000008
8,0.000000065,0.072766535,0.000843,0.000048385,0.000000844
9,0.000000061,0.082311942,0.000815,0.000040431,0.000000786
10,0.000000069,0.075068798,0.000799,0.00003923,0.000000905
11,0.00000006,0.077545,0.000806,0.000050453,0.000000884
12,0.00000009,0.076560741,0.000868,0.000051759,0.000000805
13,0.000000064,0.069926702,0.000818,0.000041399,0.000000808
14,0.000000064,0.075492948,0.000865,0.000038193,0.000000822
15,0.000000078,0.075409055,0.000887,0.000049423,0.000000893
16,0.00000006,0.075985397,0.000888,0.000033827,0.000001109
17,0.000000067,0.075183897,0.000884,0.000038337,0.000000816
18,0.000000077,0.073626636,0.000806,0.000037766,0.000000793
19,0.000000067,0.072973133,0.000861,0.000039108,0.000000811
20,0.000000075,0.071485407,0.000798,0.000053979,0.000001005
21,0.000000059,0.074145883,0.000796,0.000051494,0.000000963
22,0.000000069,0.070608098,0.000783,0.000040155,0.000000899
23,0.000000066,0.071843657,0.000822,0.000039499,0.000000968
24,0.000000073,0.071114904,0.000793,0.000047391,0.000001102
25,0.000000065,0.067486866,0.000767,0.000048822,0.000000833
26,0.000000078,0.069875328,0.000852,0.00004879,0.000000852
27,0.000000106,0.074221733,0.000793,0.000041425,0.000000889
28,0.000000066,0.074185916,0.000819,0.000048767,0.000000825
29,0.000000067,0.072750801,0.000885,0.000061034,0.000000955
30,0.000000064,0.067859731,0.000793,0.000050186,0.000000975
31,0.000000067,0.072981004,0.000855,0.000046443,0.000000977
32,0.000000082,0.072122177,0.000865,0.000050381,0.000000923
33,0.000000064,0.07609098,0.000879,0.000050116,0.000000825
34,0.000000067,0.077331546,0.000789,0.000041463,0.000000825
35,0.000000062,0.069247357,0.000832,0.00004033,0.00000082
36,0.000000079,0.072570131,0.000802,0.000048966,0.000000812
37,0.000000059,0.079112546,0.000813,0.00003992,0.000000777
38,0.000000072,0.074124409,0.000839,0.000048382,0.000000952
39,0.000000063,0.072651703,0.000788,0.000045198,0.000000961
40,0.000000078,0.069827781,0.000864,0.000045854,0.000001009
41,0.000000093,0.069253796,0.0007,0.000048379,0.000000811
42,0.000000067,0.071840651,0.000873,0.000049883,0.000000794
43,0.000000096,0.071110337,0.00083,0.000057579,0.000000942
44,0.000000081,0.070140256,0.000795,0.000037702,0.000001216
45,0.000000086,0.072223799,0.000939,0.000043431,0.000000802
46,0.000000068,0.073616344,0.000895,0.000038656,0.00000089
47,0.000000067,0.072947031,0.000843,0.000044853,0.00000087
48,0.000000063,0.07407101,0.000872,0.000038176,0.000000808
49,0.000000069,0.077202199,0.000841,0.000049014,0.000000802
50,0.000000059,0.077926309,0.000807,0.000047558,0.000000973
51,0.000000064,0.074169515,0.000855,0.000052403,0.000001066
52,0.000000086,0.073101316,0.000847,0.00004581,0.000000901
53,0.000000074,0.071422772,0.000815,0.00005249,0.000000949
54,0.000000073,0.072095791,0.000821,0.000047236,0.000000826
55,0.000000069,0.077144642,0.000826,0.000043378,0.000000802
56,0.000000078,0.071457818,0.000807,0.000053382,0.000001038
57,0.000000082,0.070405354,0.000908,0.00005065,0.000000827
58,0.000000075,0.072758297,0.000778,0.000051652,0.000000928
59,0.000000066,0.072571125,0.00082,0.000044758,0.000000837
60,0.000000071,0.077038178,0.00082,0.000050641,0.000000865
61,0.000000068,0.074457997,0.000872,0.000051023,0.000000818
62,0.000000059,0.073782661,0.000871,0.000053019,0.000000955
63,0.00000007,0.072839505,0.000785,0.000045306,0.000000798
64,0.000000088,0.072038609,0.000736,0.000051238,0.000000812
65,0.000000073,0.075539103,0.00081,0.000057807,0.000001032
66,0.000000065,0.079281353,0.000848,0.00004573,0.00000101
67,0.000000064,0.074586603,0.000829,0.00004842,0.00000082
68,0.000000067,0.073045931,0.000826,0.000041964,0.000000815
69,0.000000079,0.072319856,0.000862,0.000043015,0.000000906
70,0.000000069,0.069422591,0.000887,0.000040144,0.000000806
71,0.000000077,0.071962192,0.000925,0.000044124,0.000000991
72,0.000000072,0.070661451,0.000882,0.000051858,0.000000812
73,0.000000067,0.069700466,0.000818,0.000039423,0.000000788
74,0.000000091,0.072187258,0.000893,0.000038089,0.000000787
75,0.00000009,0.077287278,0.000821,0.000049335,0.00000104
76,0.000000081,0.074179454,0.000807,0.000037187,0.000000998
77,0.000000067,0.071379921,0.000827,0.000052296,0.000000822
78,0.000000071,0.074968179,0.000848,0.000052686,0.000000821
79,0.000000071,0.072038465,0.000877,0.000049171,0.000000836
80,0.000000077,0.077702038,0.000803,0.000039184,0.000000794
81,0.000000063,0.072249829,0.000836,0.000034766,0.000000779
82,0.000000068,0.070118199,0.000892,0.000038577,0.000000901
83,0.00000007,0.07911842,0.000812,0.000046624,0.000000958
84,0.000000066,0.071481419,0.00082,0.00003213,0.0000008
85,0.000000062,0.07482041,0.000845,0.000053572,0.000000822
86,0.000000059,0.074766406,0.00084,0.000041333,0.000001039
87,0.000000077,0.070798934,0.000893,0.00004701,0.000000881
88,0.000000064,0.07372791,0.000767,0.000051408,0.000001027
89,0.000000069,0.075074406,0.000892,0.000042422,0.000001041
90,0.000000106,0.075968859,0.000781,0.000052616,0.000000791
91,0.000000066,0.073490406,0.00088,0.000047029,0.000000785
92,0.000000074,0.075384983,0.000823,0.000042754,0.000000899
93,0.00000009,0.070831143,0.000895,0.0000346,0.000000826
94,0.000000073,0.077066772,0.000892,0.000052237,0.000000873
95,0.000000081,0.073911311,0.000743,0.000048733,0.00000105
96,0.00000007,0.072239982,0.000841,0.000040538,0.000000969
97,0.000000067,0.073470841,0.000835,0.000037815,0.000001025
98,0.000000067,0.071209103,0.000781,0.000048725,0.000000887
99,0.000000059,0.075941777,0.000765,0.000036935,0.000005233
100,0.000000073,0.073296276,0.000844,0.000036641,0.000000965
101,0.00000009493,0.073559929,0.00083243,0.0000455926,0.00000093446
102,0.00000000997033,0.002664837,0.0000442118,0.00000609377,0.000000441809
103,0.000000059,0.067486866,0.0007,0.00003213,0.000000777
104,0.000000106,0.082311942,0.000939,0.000061034,0.000005233
