x,one,nsquare,nlogn,n,logn
1,0.000001,0.056051,0.001715,0.000659,0.000001
2,0.000001,0.05283,0.001745,0.000642,0.000002
3,0.000001,0.053826,0.001698,0.000671,0.000001
4,0.000001,0.054902,0.001483,0.000596,0.000002
5,0.000001,0.05174,0.001646,0.000981,0.000002
6,0.000001,0.050676,0.001786,0.000638,0.000001
7,0.000001,0.05493,0.001488,0.00065,0.000001
8,0.000001,0.05403,0.001596,0.000952,0.000001
9,0.000001,0.048515,0.001636,0.000785,0.000001
10,0.000001,0.053921,0.001795,0.000661,0.000001
11,0.000001,0.049261,0.00173,0.000667,0.000001
12,0.000001,0.056053,0.001665,0.000611,0.000001
13,0.000001,0.053145,0.0018,0.000662,0.000001
14,0.000001,0.049379,0.001932,0.000658,0.000001
15,0.000001,0.048463,0.001725,0.000697,0.000003
16,0.000001,0.052089,0.001673,0.000674,0.000002
17,0.000001,0.051017,0.00151,0.000713,0.000001
18,0.000001,0.052975,0.001647,0.000693,0.000002
19,0.000001,0.052561,0.00174,0.000632,0.000001
20,0.000001,0.054076,0.001526,0.000595,0.000001
21,0.000001,0.054683,0.001673,0.000601,0.000001
22,0.000001,0.051171,0.001651,0.00075,0.000001
23,0.000001,0.056384,0.001643,0.000682,0.000002
24,0.000001,0.055435,0.001641,0.000638,0.000001
25,0.000002,0.049808,0.00152,0.000666,0.000001
26,0.000001,0.051094,0.001729,0.000996,0.000001
27,0.000001,0.049369,0.001479,0.000638,0.000001
28,0.000001,0.055443,0.001785,0.000776,0.000002
29,0.000001,0.053923,0.001692,0.000657,0.000002
30,0.000001,0.055875,0.00161,0.000657,0.000002
31,0.000002,0.053268,0.001522,0.000671,0.000001
32,0.000001,0.054494,0.001627,0.000667,0.000001
33,0.000001,0.048814,0.001547,0.000718,0.000002
34,0.000001,0.05414,0.001897,0.00059,0.000001
35,0.000001,0.050104,0.00154,0.00066,0.000002
36,0.000001,0.052874,0.001902,0.000645,0.000002
37,0.000002,0.050419,0.001687,0.000732,0.000002
38,0.000001,0.054415,0.001705,0.000767,0.000001
39,0.000001,0.052214,0.001495,0.000683,0.000002
40,0.000001,0.050457,0.001545,0.000651,0.000001
41,0.000001,0.052902,0.001663,0.000667,0.000001
42,0.000001,0.052292,0.002003,0.0007,0.000002
43,0.000001,0.050903,0.001657,0.000672,0.000001
44,0.000001,0.04994,0.00189,0.000727,0.000001
45,0.000001,0.05204,0.001688,0.000654,0.000001
46,0.000001,0.050729,0.001909,0.00065,0.000002
47,0.000001,0.050869,0.001534,0.000656,0.000002
48,0.000001,0.046858,0.001568,0.000648,0.000001
49,0.000001,0.048611,0.00184,0.000686,0.000001
50,0.000001,0.048471,0.00152,0.000725,0.000001
51,0.000001,0.054376,0.00167,0.000743,0.000001
52,0.000001,0.051664,0.00167,0.000614,0.000001
53,0.000001,0.049367,0.00161,0.000655,0.000002
54,0.000001,0.048956,0.001555,0.000705,0.000001
55,0.000001,0.052525,0.001681,0.000681,0.000002
56,0.000001,0.052718,0.001916,0.000662,0.000001
57,0.000001,0.054301,0.00161,0.000685,0.000001
58,0.000001,0.053484,0.001501,0.000675,0.000001
59,0.000001,0.054056,0.001702,0.000677,0.000002
60,0.000001,0.055752,0.001753,0.000759,0.000001
61,0.000001,0.053245,0.001656,0.000711,0.000002
62,0.000001,0.054535,0.001838,0.000651,0.000001
63,0.000001,0.051454,0.001598,0.000721,0.000001
64,0.000001,0.050478,0.001656,0.000716,0.000001
65,0.000001,0.055328,0.001769,0.000785,0.000002
66,0.000001,0.053286,0.001662,0.000705,0.000002
67,0.000001,0.053778,0.001596,0.000601,0.000001
68,0.000001,0.050418,0.00183,0.000673,0.000002
69,0.000002,0.053857,0.001749,0.000618,0.000002
70,0.000001,0.054383,0.001628,0.000649,0.000002
71,0.000002,0.053452,0.001623,0.000616,0.000001
72,0.000003,0.051865,0.001944,0.000672,0.000001
73,0.000001,0.051053,0.001588,0.000594,0.000002
74,0.000001,0.053342,0.00171,0.00067,0.000001
75,0.000001,0.050814,0.001629,0.000643,0.000003
76,0.000001,0.050133,0.001711,0.000721,0.000002
77,0.000002,0.052184,0.001957,0.000743,0.000002
78,0.000002,0.049919,0.001634,0.000635,0.000002
79,0.000001,0.054923,0.001705,0.000723,0.000002
80,0.000002,0.054195,0.001448,0.000789,0.000004
81,0.000001,0.052125,0.001498,0.000758,0.000001
82,0.000001,0.055158,0.0016,0.000762,0.000002
83,0.000002,0.054556,0.002258,0.000595,0.000001
84,0.000001,0.053336,0.001733,0.000693,0.000002
85,0.000001,0.055322,0.0017,0.000724,0.000001
86,0.000001,0.05143,0.001766,0.000731,0.000001
87,0.000001,0.053505,0.001522,0.000651,0.000002
88,0.000001,0.054122,0.001841,0.000646,0.000001
89,0.000001,0.049885,0.001741,0.000684,0.000001
90,0.000001,0.048714,0.001711,0.000716,0.000002
91,0.000001,0.05496,0.001646,0.000757,0.000002
92,0.000001,0.056017,0.001813,0.000592,0.000002
93,0.000001,0.051027,0.001469,0.000656,0.000002
94,0.000001,0.052311,0.001673,0.000604,0.000002
95,0.000001,0.050316,0.001641,0.000606,0.000002
96,0.000001,0.0518,0.00172,0.000666,0.000002
97,0.000001,0.054936,0.001808,0.000662,0.000001
