x,one,nsquare,nlogn,n,logn
1,0.000015,0.059077,0.00674,0.002308,0.00003
2,0.000014,0.054798,0.005931,0.002121,0.00003
3,0.000014,0.054157,0.005561,0.002063,0.00004
4,0.000015,0.054074,0.005993,0.002066,0.00003
5,0.000014,0.053473,0.005612,0.002301,0.00003
6,0.000013,0.052861,0.007869,0.002188,0.00003
7,0.000013,0.055834,0.005631,0.002135,0.00003
8,0.000015,0.055575,0.005956,0.002029,0.00003
9,0.000015,0.050891,0.005378,0.002153,0.000029
10,0.000013,0.055005,0.006215,0.002104,0.00003
11,0.000013,0.052153,0.006068,0.00205,0.00003
12,0.000014,0.056084,0.005789,0.002191,0.000032
13,0.000016,0.055064,0.00614,0.002293,0.000032
14,0.000016,0.052266,0.00594,0.001908,0.000034
15,0.00002,0.051609,0.006168,0.002185,0.000036
16,0.000017,0.053195,0.007723,0.002131,0.000032
17,0.000014,0.053932,0.006024,0.00206,0.000037
18,0.000018,0.057243,0.00594,0.001979,0.000037
19,0.000013,0.054675,0.005977,0.002073,0.000037
20,0.000014,0.054703,0.006153,0.002105,0.000035
21,0.000016,0.056345,0.006148,0.002172,0.000033
22,0.000016,0.0517,0.007099,0.002152,0.000037
23,0.000019,0.056377,0.005873,0.002059,0.000033
24,0.000017,0.055185,0.006093,0.002116,0.000032
25,0.00002,0.054965,0.005643,0.002358,0.000031
26,0.000016,0.052623,0.006163,0.002099,0.000031
27,0.00004,0.055779,0.005606,0.002089,0.00003
28,0.000014,0.056681,0.006042,0.002172,0.000033
29,0.000014,0.051053,0.005994,0.002141,0.000032
30,0.000021,0.056375,0.005848,0.002115,0.000031
31,0.000021,0.054904,0.00592,0.002129,0.000029
32,0.000014,0.054414,0.006209,0.003097,0.000028
33,0.000017,0.053811,0.005947,0.00219,0.000033
34,0.000013,0.056613,0.006452,0.002243,0.000038
35,0.000016,0.05211,0.006567,0.00224,0.000031
36,0.000016,0.052628,0.005603,0.002143,0.000033
37,0.000015,0.055551,0.006541,0.002134,0.000032
38,0.000015,0.055609,0.006266,0.002141,0.000032
39,0.000014,0.056794,0.005764,0.002076,0.000033
40,0.000015,0.052964,0.005798,0.002155,0.000033
41,0.000013,0.050775,0.005662,0.002174,0.000032
42,0.000014,0.054542,0.006253,0.002046,0.000034
43,0.000021,0.055001,0.005979,0.00226,0.00003
44,0.000016,0.052017,0.006116,0.002217,0.00003
45,0.000016,0.052102,0.006077,0.002135,0.00003
46,0.000014,0.051445,0.006081,0.002133,0.000034
47,0.000014,0.052847,0.005561,0.002239,0.000031
48,0.000015,0.053032,0.005604,0.002332,0.00003
49,0.000015,0.051983,0.005463,0.002206,0.000032
50,0.000015,0.055147,0.005516,0.002289,0.000032
51,0.000018,0.054658,0.005697,0.002277,0.000031
52,0.000027,0.056775,0.005989,0.002092,0.000031
53,0.000014,0.054359,0.005921,0.002201,0.000031
54,0.000014,0.051396,0.005804,0.00213,0.000031
55,0.000015,0.052756,0.006047,0.002112,0.000033
56,0.00002,0.055164,0.007722,0.002174,0.000028
57,0.000013,0.0557,0.005961,0.002164,0.000031
58,0.000014,0.055122,0.005839,0.002221,0.000032
59,0.000015,0.055301,0.006231,0.002303,0.000038
60,0.000022,0.056863,0.00553,0.002215,0.000031
61,0.000016,0.055007,0.005715,0.002038,0.000031
62,0.000015,0.051742,0.005471,0.002147,0.000032
63,0.000021,0.052373,0.005866,0.002064,0.00003
64,0.000019,0.05509,0.005809,0.002252,0.000034
65,0.000014,0.051344,0.005701,0.002233,0.000033
66,0.000014,0.052762,0.005868,0.002464,0.000045
67,0.000014,0.051887,0.006126,0.002077,0.000033
68,0.000017,0.053972,0.0059,0.002089,0.000032
69,0.000017,0.051931,0.006363,0.002149,0.000033
70,0.000021,0.055607,0.006115,0.002333,0.000039
71,0.000022,0.052423,0.006357,0.002092,0.000033
72,0.000017,0.055236,0.006301,0.002302,0.000034
73,0.000021,0.053061,0.005855,0.002118,0.000033
74,0.000016,0.052424,0.006101,0.002157,0.000033
75,0.000024,0.054286,0.006053,0.002155,0.000034
76,0.000018,0.052649,0.005722,0.002185,0.000033
77,0.000018,0.052085,0.007148,0.002156,0.000034
78,0.000021,0.052907,0.00601,0.002128,0.000036
79,0.000017,0.0571,0.006276,0.00219,0.000034
80,0.000017,0.058245,0.005975,0.002277,0.000035
81,0.000017,0.052534,0.005441,0.002292,0.000032
82,0.000015,0.052672,0.006065,0.002274,0.000029
83,0.000017,0.058748,0.006189,0.002326,0.000034
84,0.000016,0.054847,0.005667,0.001973,0.000029
85,0.000015,0.055268,0.005926,0.002354,0.000031
86,0.000016,0.051726,0.006096,0.002386,0.000032
87,0.000015,0.054685,0.005967,0.002093,0.000034
88,0.000014,0.055221,0.006276,0.00228,0.000033
89,0.000015,0.055778,0.006035,0.002323,0.000033
90,0.000021,0.05649,0.006047,0.001988,0.000031
91,0.000014,0.051926,0.00625,0.002226,0.000032
92,0.000014,0.054114,0.006127,0.002272,0.000033
93,0.000014,0.052176,0.006336,0.002221,0.000032
94,0.000014,0.056326,0.006258,0.002119,0.000035
95,0.000017,0.053714,0.00589,0.002103,0.00003
96,0.000015,0.051823,0.005936,0.002173,0.000034
97,0.000015,0.056158,0.006443,0.002126,0.00003
98,0.000015,0.054963,0.00691,0.002139,0.000033
99,0.000014,0.051641,0.005573,0.002186,0.00003
100,0.000015,0.055689,0.006212,0.002067,0.000029
101,0.00001637,0.05414765,0.00605813,0.00217911,0.00003245
102,0.00000361291,0.001894207,0.000441463,0.000134233,0.00000268095
103,0.000013,0.050775,0.005378,0.001908,0.000028
104,0.00004,0.059077,0.007869,0.003097,0.000045
