x,one,nsquare,nlogn,n,logn
1,0.000000602,3.776566,0.023932,0.002589,0.000003
2,0.000000503,3.699652,0.023998,0.002961,0.000003
3,0.000000507,3.823786,0.02282,0.002492,0.000003
4,0.000000624,3.79259,0.021269,0.002584,0.000007
5,0.00000062,3.566908,0.021866,0.003043,0.000003
6,0.000000724,3.789798,0.024234,0.002547,0.000002
7,0.000000503,3.558078,0.022611,0.002905,0.000003
8,0.00000049,3.81413,0.023831,0.002569,0.000002
9,0.000000553,3.547914,0.025424,0.003046,0.000003
10,0.000000425,3.725227,0.022355,0.002757,0.000004
11,0.000000717,3.671735,0.024178,0.003634,0.000004
12,0.000001029,3.54606,0.022745,0.003537,0.000003
13,0.000000774,3.627318,0.023727,0.002221,0.000003
14,0.000000811,3.798602,0.02466,0.00248,0.000003
15,0.000000411,3.563331,0.025345,0.002359,0.000003
16,0.000000883,3.626976,0.024612,0.002354,0.000003
17,0.000000452,3.569,0.021591,0.00245,0.000003
18,0.00000185,3.561669,0.02242,0.002319,0.000003
19,0.000000676,3.803385,0.024352,0.004261,0.000003
20,0.000000462,3.711659,0.023955,0.002485,0.000003
21,0.000000429,3.737837,0.022083,0.002395,0.000003
22,0.000000538,3.72591,0.022389,0.002518,0.000004
23,0.000000703,3.79095,0.022693,0.002631,0.000004
24,0.000000798,3.803047,0.023596,0.002531,0.000003
25,0.000001232,3.660121,0.023456,0.00262,0.000002
26,0.000001378,3.789432,0.020483,0.004455,0.000003
27,0.000000576,3.505628,0.022377,0.003765,0.000003
28,0.000000629,3.524173,0.023937,0.003015,0.000003
29,0.000000637,3.802287,0.022091,0.003202,0.000004
30,0.000000889,3.655987,0.023854,0.002379,0.000003
31,0.000001049,3.525146,0.023689,0.002644,0.000003
32,0.000000483,3.738224,0.02495,0.003318,0.000003
33,0.000001901,3.802606,0.022431,0.002592,0.000002
34,0.000000677,3.81996,0.024533,0.002583,0.000002
35,0.000000942,3.539946,0.022054,0.004225,0.000002
36,0.000000549,3.807316,0.022759,0.002814,0.000003
37,0.00000075,3.528073,0.024061,0.002303,0.000003
38,0.00000058,3.73966,0.022693,0.002462,0.000003
39,0.00000064,3.807215,0.02353,0.002092,0.000003
40,0.000000542,3.685632,0.022967,0.002524,0.000003
41,0.000000684,3.503961,0.02315,0.002946,0.000003
42,0.000000943,3.70892,0.022107,0.003576,0.000004
43,0.000000662,3.808015,0.024806,0.002466,0.000003
44,0.000000729,3.546763,0.022531,0.00242,0.000002
45,0.000000469,3.554158,0.023448,0.003429,0.000003
46,0.000000637,3.803553,0.024075,0.002515,0.000003
47,0.000000417,3.780114,0.024272,0.004124,0.000003
48,0.00000058,3.713718,0.023624,0.002732,0.000003
49,0.000000508,3.791987,0.022481,0.003097,0.000004
50,0.000001151,3.519158,0.024206,0.002871,0.000003
51,0.000000806,3.547757,0.022389,0.002383,0.000003
52,0.000000442,3.808264,0.02196,0.002246,0.000003
53,0.00000077,3.692724,0.023513,0.002176,0.000003
54,0.000000624,3.597839,0.023134,0.002394,0.000003
55,0.000000547,3.600854,0.021474,0.005763,0.000004
56,0.000000691,3.780031,0.024936,0.005588,0.000003
57,0.000000544,3.497314,0.022261,0.003854,0.000003
58,0.000000489,3.635145,0.024238,0.003938,0.000003
59,0.000000606,3.721099,0.026382,0.003125,0.000003
60,0.000000527,3.565338,0.0227,0.002707,0.000003
61,0.000000443,3.698077,0.023645,0.002887,0.000003
62,0.00000068,3.718035,0.0214,0.002682,0.000003
63,0.000001177,3.577445,0.022527,0.003,0.000003
64,0.000000437,3.728294,0.021879,0.004196,0.000003
65,0.000000478,3.586829,0.024413,0.002258,0.000004
66,0.000000863,3.546798,0.023091,0.004027,0.000003
67,0.000000509,3.545414,0.021559,0.003558,0.000003
68,0.00000226,3.559094,0.024717,0.002773,0.000003
69,0.00000044,3.734355,0.02545,0.002802,0.000003
70,0.000001172,3.567638,0.024403,0.002263,0.000004
71,0.00000264,3.614114,0.024693,0.003545,0.000007
72,0.00000081,3.773542,0.021963,0.002805,0.000003
73,0.000001302,3.609458,0.025707,0.002385,0.000003
74,0.000000441,3.838592,0.020382,0.003618,0.000003
75,0.000001126,3.546805,0.023864,0.002848,0.000003
76,0.000004181,3.579619,0.022224,0.002644,0.000003
77,0.000000776,3.560089,0.023948,0.005373,0.000003
78,0.000000765,3.558123,0.023713,0.002841,0.000003
79,0.000001227,3.807489,0.023386,0.003282,0.000003
80,0.000000438,3.839186,0.024355,0.002257,0.000003
81,0.000000552,3.59103,0.024237,0.00226,0.000003
82,0.00000059,3.722305,0.022132,0.004886,0.000004
83,0.000001255,3.562652,0.024199,0.00174,0.000003
84,0.00000078,3.809254,0.024039,0.004452,0.000003
85,0.000000614,3.544379,0.024752,0.003028,0.000003
86,0.000000791,3.62126,0.025405,0.003163,0.000004
87,0.000000452,4.229455,0.0225,0.003049,0.000003
88,0.000000683,3.537362,0.024016,0.0026,0.000003
89,0.000000563,3.733237,0.022532,0.002799,0.000004
90,0.000000724,3.790813,0.023876,0.003792,0.000003
91,0.000000867,3.714158,0.021698,0.00285,0.000004
92,0.000000755,3.727767,0.024122,0.003597,0.000004
93,0.000000562,3.611013,0.024439,0.002832,0.000003
94,0.000000627,3.592478,0.023183,0.004559,0.000003
95,0.000000864,3.572141,0.023383,0.00311,0.000003
96,0.000000599,3.705981,0.021769,0.002348,0.000003
97,0.000000421,3.767765,0.02316,0.003624,0.000003
98,0.000000401,3.509369,0.02362,0.003644,0.000003
99,0.000000485,3.85566,0.023192,0.002237,0.000003
100,0.000000441,3.533822,0.023698,0.002599,0.000003
101,0.00000077555,3.67461143,0.02335509,0.00302224,0.00000316
102,0.000000505909,0.12120838,0.001171598,0.000775064,0.000000717217
103,0.000000401,3.497314,0.020382,0.00174,0.000002
104,0.000004181,4.229455,0.026382,0.005763,0.000007
