x,one,nsquare,nlogn,n,logn
1,0.000000102,0.000526369,0.000076,0.0000046,0.000001403
2,0.000000083,0.00051811,0.000085,0.000004518,0.000001286
3,0.000000072,0.000534995,0.000079,0.00000482,0.000001302
4,0.00000007,0.000524078,0.000079,0.000004696,0.000001407
5,0.000000059,0.000525694,0.000078,0.000004118,0.000001176
6,0.000000074,0.000527923,0.000078,0.000007259,0.000001392
7,0.000000061,0.000511876,0.000081,0.000004367,0.000001195
8,0.000000059,0.000523619,0.000081,0.00000786,0.000001312
9,0.000000063,0.00052745,0.000089,0.000004536,0.000001127
10,0.000000059,0.000518979,0.00009,0.000007465,0.000001383
11,0.00000006,0.000554103,0.000091,0.000004419,0.000001326
12,0.000000057,0.000521815,0.000087,0.000004092,0.000001423
13,0.000000077,0.000567455,0.000085,0.000004491,0.000001325
14,0.000000068,0.000554591,0.000084,0.000003837,0.000001508
15,0.000000755,0.000532404,0.000084,0.000004362,0.000001308
16,0.000000059,0.000545079,0.000088,0.000004386,0.000001124
17,0.00000006,0.00052851,0.000083,0.000004927,0.00000125
18,0.000000067,0.000525595,0.000082,0.000006113,0.000001455
19,0.000000065,0.000549318,0.000079,0.000004476,0.000001133
20,0.000000069,0.000528243,0.000082,0.000007636,0.000001389
21,0.000000061,0.000512211,0.000086,0.000007823,0.000001234
22,0.000000058,0.000512061,0.000079,0.000004424,0.000001316
23,0.0000007,0.000523696,0.000077,0.000007795,0.00000121
24,0.000000062,0.000504392,0.000079,0.000004468,0.000001186
25,0.000000068,0.000501902,0.000079,0.000004367,0.000001399
26,0.000000069,0.000508474,0.000079,0.000008617,0.000001084
27,0.000000066,0.000494316,0.00008,0.000004485,0.000001586
28,0.000000069,0.000529893,0.000081,0.000004732,0.000001615
29,0.000000072,0.000502801,0.000086,0.000004444,0.000001592
30,0.000000074,0.00048478,0.000086,0.000004751,0.000001209
31,0.000000085,0.000495525,0.000083,0.000004107,0.000001274
32,0.000000085,0.000518173,0.000082,0.000004345,0.000001251
33,0.000000083,0.000493759,0.000084,0.000004795,0.000001307
34,0.00000008,0.000504621,0.000083,0.000004922,0.000001867
35,0.000000089,0.000500633,0.000083,0.00000453,0.000001273
36,0.00000008,0.000515221,0.000088,0.00000469,0.000001279
37,0.000000081,0.000525304,0.00008,0.000004674,0.000001407
38,0.000000079,0.000516772,0.000079,0.00000477,0.000001276
39,0.000000082,0.000502419,0.000078,0.000004585,0.000001324
40,0.00000008,0.000520003,0.000079,0.000004313,0.00000113
41,0.00000008,0.000525631,0.000081,0.00000455,0.000001245
42,0.000000079,0.000567969,0.000084,0.000004042,0.000001291
43,0.000000082,0.000556152,0.000083,0.000006431,0.000001487
44,0.000000081,0.000542478,0.00008,0.00000482,0.00000113
45,0.000000081,0.000533247,0.000084,0.000006564,0.000001436
46,0.000000082,0.00051716,0.000086,0.000004235,0.000001085
47,0.000000079,0.000487747,0.000082,0.000004073,0.000001336
48,0.000000081,0.000511373,0.000082,0.000004882,0.000001303
49,0.000000083,0.000512034,0.00008,0.000005188,0.000001381
50,0.000000081,0.000510389,0.000079,0.000004814,0.000001357
51,0.00000008,0.000528813,0.000078,0.000004566,0.000001389
52,0.00000008,0.000513106,0.000078,0.000004473,0.000001356
53,0.00000008,0.000509366,0.000077,0.000004654,0.000001335
54,0.000000081,0.000499813,0.000098,0.000006495,0.000001117
55,0.000000077,0.000518716,0.000076,0.000004666,0.000001303
56,0.000000079,0.000520785,0.000082,0.000004553,0.000001202
57,0.000000074,0.000500281,0.000075,0.000004535,0.000001178
58,0.000000084,0.00051376,0.000084,0.000004383,0.000001371
59,0.000000078,0.000507825,0.000082,0.000004708,0.000001715
60,0.000000079,0.000516968,0.000081,0.000004404,0.000001326
61,0.000000112,0.000525737,0.00008,0.000004254,0.000001314
62,0.000000088,0.00049903,0.000079,0.000004349,0.000001442
63,0.000000078,0.000479644,0.000079,0.000004402,0.000001328
64,0.000000078,0.000482301,0.00008,0.000004333,0.000001404
65,0.000000079,0.000503555,0.000089,0.000004488,0.000001208
66,0.000000079,0.000487577,0.000082,0.00000529,0.000001315
67,0.000000086,0.000496744,0.000079,0.000004553,0.000001256
68,0.000000076,0.000500184,0.000082,0.000013473,0.000001295
69,0.000000092,0.000518104,0.00008,0.0000041,0.000001307
70,0.000000078,0.000510293,0.000084,0.000004803,0.000001305
71,0.000000085,0.00054411,0.000077,0.000004772,0.00000145
72,0.000000084,0.000584745,0.00008,0.000004736,0.000001381
73,0.000000082,0.000574211,0.000084,0.000004603,0.000001289
74,0.000000079,0.000550888,0.00008,0.000004671,0.00000268
75,0.000000077,0.000534261,0.000082,0.000004461,0.000001265
76,0.000000077,0.000510124,0.000078,0.000004452,0.000001532
77,0.000000079,0.000510564,0.000079,0.000004391,0.000001288
78,0.000000076,0.000525452,0.000077,0.000004272,0.000001448
79,0.000000076,0.000512577,0.00008,0.000004529,0.000001351
80,0.000000078,0.000534053,0.000079,0.000004138,0.000001359
81,0.000000075,0.000520482,0.000085,0.000004356,0.000001325
82,0.000000085,0.000527501,0.000088,0.000006258,0.00000125
83,0.000000078,0.000518974,0.000083,0.000008877,0.000010338
84,0.00000009,0.000508018,0.000086,0.000007504,0.000001293
85,0.000000077,0.000512657,0.000082,0.000003953,0.000001207
86,0.00000008,0.000503817,0.00009,0.000004419,0.000001301
87,0.000000083,0.000496312,0.000085,0.000004371,0.000001274
88,0.000000082,0.000487011,0.000086,0.000004699,0.000001351
89,0.000000079,0.000515965,0.000087,0.000005289,0.000001368
90,0.000000079,0.000505058,0.000082,0.000004258,0.000001192
91,0.000000077,0.000493436,0.00008,0.000005806,0.000001286
92,0.000000082,0.00051201,0.000078,0.000004422,0.000010361
93,0.000000081,0.000486266,0.00008,0.000004409,0.000001598
94,0.000000076,0.000496775,0.000083,0.000004517,0.000001425
95,0.000000073,0.000510049,0.000082,0.000004464,0.000001426
96,0.000000079,0.000493088,0.00008,0.00000418,0.000001476
97,0.000000075,0.000497349,0.00008,0.000007372,0.000001445
98,0.000000078,0.000495272,0.00008,0.000004445,0.000001582
99,0.000000078,0.000510179,0.00008,0.000004392,0.000001384
100,0.00000008,0.000537205,0.000079,0.000004634,0.000001366
101,0.00000008989,0.000517184,0.0000819,0.00000503346,0.00000152851
102,0.0000000916038,0.0000201989,0.00000379078,0.00000137891,0.0000012739
103,0.000000057,0.000479644,0.000075,0.000003837,0.000001084
104,0.000000755,0.000584745,0.000098,0.000013473,0.000010361
