x,one,nsquare,nlogn,n,logn
1,0.000001,0.000138,0.000054,0.000021,0.000002
2,0.000001,0.000142,0.000064,0.000022,0.000002
3,0.000001,0.000143,0.000059,0.000022,0.000002
4,0.000001,0.000145,0.000059,0.000021,0.000003
5,0.000001,0.000147,0.000058,0.000023,0.000002
6,0.000001,0.000148,0.000059,0.000023,0.000002
7,0.000001,0.000148,0.000057,0.000023,0.000002
8,0.000001,0.000148,0.000058,0.000022,0.000002
9,0.000001,0.000149,0.000056,0.000022,0.000002
10,0.000001,0.000149,0.000057,0.000021,0.000002
11,0.000001,0.000149,0.000056,0.000021,0.000002
12,0.000001,0.000149,0.000056,0.000021,0.000002
13,0.000001,0.000149,0.000055,0.000021,0.000002
14,0.000001,0.000149,0.000057,0.000038,0.000002
15,0.000001,0.00015,0.000056,0.000022,0.000002
16,0.000001,0.00015,0.000057,0.00002,0.000002
17,0.000001,0.00015,0.000059,0.000021,0.000002
18,0.000001,0.00015,0.000056,0.000026,0.000002
19,0.000001,0.00015,0.000056,0.000022,0.000002
20,0.000001,0.00015,0.000056,0.000023,0.000002
21,0.000001,0.00015,0.000059,0.000022,0.000002
22,0.000001,0.00015,0.000056,0.000021,0.000002
23,0.000001,0.00015,0.000055,0.000021,0.000002
24,0.000001,0.00015,0.000056,0.000021,0.000002
25,0.000001,0.000151,0.000062,0.000021,0.000002
26,0.000001,0.000151,0.000058,0.00002,0.000002
27,0.000001,0.000151,0.000061,0.000021,0.000002
28,0.000001,0.000151,0.000061,0.000024,0.000002
29,0.000001,0.000151,0.000059,0.00002,0.000002
30,0.000001,0.000152,0.000058,0.000029,0.000002
31,0.000001,0.000152,0.000057,0.000021,0.000002
32,0.000001,0.000152,0.000057,0.000021,0.000002
33,0.000001,0.000152,0.000057,0.000021,0.000002
34,0.000001,0.000153,0.000057,0.000021,0.000016
35,0.000001,0.000153,0.000058,0.000021,0.000002
36,0.000001,0.000153,0.000057,0.00019,0.000002
37,0.000001,0.000153,0.000057,0.000022,0.000002
38,0.000001,0.000153,0.000057,0.000022,0.000002
39,0.000001,0.000153,0.000055,0.00002,0.000002
40,0.000001,0.000154,0.000056,0.000021,0.000002
41,0.000001,0.000154,0.000057,0.00002,0.000002
42,0.000001,0.000154,0.000054,0.00002,0.000002
43,0.000001,0.000154,0.000057,0.00002,0.000002
44,0.000001,0.000154,0.000055,0.000021,0.000002
45,0.000001,0.000154,0.000065,0.000021,0.000002
46,0.000001,0.000155,0.000058,0.000024,0.000002
47,0.000001,0.000155,0.000058,0.000022,0.000002
48,0.000001,0.000155,0.000057,0.000023,0.000002
49,0.000001,0.000155,0.000057,0.000022,0.000002
50,0.000001,0.000155,0.000057,0.000021,0.000001
51,0.000001,0.000155,0.000058,0.000022,0.000002
52,0.000001,0.000155,0.000058,0.000022,0.000002
53,0.000001,0.000155,0.000056,0.00002,0.000002
54,0.000001,0.000155,0.000058,0.00002,0.000002
55,0.000001,0.000155,0.000057,0.00002,0.000001
56,0.000001,0.000156,0.000058,0.000021,0.000002
57,0.000001,0.000156,0.000056,0.000021,0.000002
58,0.000001,0.000156,0.000058,0.000021,0.000002
59,0.000001,0.000156,0.000057,0.000021,0.000002
60,0.000001,0.000156,0.000056,0.000021,0.000002
61,0.000001,0.000156,0.000058,0.00002,0.000002
62,0.000001,0.000156,0.000057,0.000021,0.000002
63,0.000001,0.000157,0.000058,0.000021,0.000002
64,0.000001,0.000157,0.000056,0.000021,0.000002
65,0.000001,0.000157,0.000058,0.00002,0.000002
66,0.000001,0.000157,0.000058,0.000021,0.000002
67,0.000001,0.000157,0.000061,0.000022,0.000002
68,0.000001,0.000157,0.000061,0.000021,0.000002
69,0.000001,0.000157,0.00006,0.00002,0.000002
70,0.000001,0.000158,0.00006,0.00002,0.000002
71,0.000001,0.000158,0.000069,0.000021,0.000002
72,0.000001,0.000158,0.000057,0.000021,0.000002
73,0.000001,0.000159,0.000057,0.00002,0.000002
74,0.000001,0.000159,0.000058,0.00002,0.000002
75,0.000001,0.000159,0.000058,0.000022,0.000002
76,0.000001,0.000159,0.000058,0.000022,0.000002
77,0.000001,0.000159,0.000064,0.000021,0.000002
78,0.000002,0.00016,0.000058,0.000021,0.000002
79,0.000002,0.00016,0.000056,0.00002,0.000002
80,0.000002,0.000161,0.000065,0.000021,0.000002
81,0.000002,0.000161,0.000065,0.000022,0.000002
82,0.000002,0.000162,0.000056,0.000022,0.000002
83,0.000002,0.000162,0.000059,0.000021,0.000002
84,0.000002,0.000164,0.000059,0.000021,0.000002
85,0.000002,0.000165,0.000058,0.00002,0.000002
86,0.000002,0.000165,0.000058,0.000023,0.000002
87,0.000002,0.000165,0.000357,0.000022,0.000002
88,0.000002,0.000166,0.000056,0.000022,0.000002
89,0.000002,0.000167,0.000057,0.000022,0.000002
90,0.000002,0.000168,0.000058,0.000021,0.000002
91,0.000002,0.000168,0.000057,0.000022,0.000002
92,0.000002,0.000168,0.000056,0.000021,0.000002
93,0.000002,0.000169,0.000057,0.000021,0.000002
94,0.000002,0.000171,0.000056,0.000021,0.000002
95,0.000002,0.000171,0.000056,0.000021,0.000002
96,0.000002,0.000173,0.000057,0.000021,0.000002
97,0.000002,0.000187,0.000057,0.000021,0.000002
98,0.000003,0.000278,0.000056,0.000021,0.000002
99,0.00001,0.001398,0.000056,0.000021,0.000002
100,0.000011,0.001486,0.000056,0.000021,0.000002
101,0.00000141,0.00018263,0.00006079,0.00002321,0.00000213
102,0.00000137182,0.000180568,0.0000298691,0.0000168916,0.00000140467
103,0.000001,0.000138,0.000054,0.00002,0.000001
104,0.000011,0.001486,0.000357,0.00019,0.000016
