x,one,nsquare,nlogn,n,logn
1,0.000013,0.000278,0.000293,0.000079,0.000036
2,0.000013,0.000281,0.000329,0.000082,0.00004
3,0.000013,0.000281,0.000309,0.000078,0.000042
4,0.000013,0.000287,0.00029,0.000084,0.00004
5,0.000013,0.000287,0.000273,0.000082,0.000036
6,0.000013,0.000288,0.000297,0.000087,0.000034
7,0.000013,0.00029,0.000271,0.000085,0.000041
8,0.000013,0.000293,0.000285,0.000081,0.000034
9,0.000013,0.000293,0.000292,0.000078,0.000037
10,0.000013,0.000293,0.000268,0.000084,0.000037
11,0.000013,0.000293,0.000285,0.000079,0.000034
12,0.000013,0.000295,0.000314,0.000088,0.000037
13,0.000013,0.000296,0.000277,0.00008,0.000036
14,0.000014,0.000297,0.000301,0.000084,0.00005
15,0.000014,0.000298,0.000279,0.00008,0.000035
16,0.000014,0.000298,0.000272,0.000079,0.000047
17,0.000014,0.000298,0.000291,0.000093,0.000037
18,0.000014,0.000298,0.000295,0.000099,0.000035
19,0.000014,0.000299,0.00026,0.000092,0.00004
20,0.000014,0.000299,0.000339,0.000075,0.000037
21,0.000014,0.0003,0.000325,0.000079,0.000033
22,0.000014,0.0003,0.000269,0.000083,0.000037
23,0.000014,0.000301,0.000286,0.000097,0.000037
24,0.000014,0.000301,0.000297,0.000095,0.000039
25,0.000014,0.000301,0.000277,0.000075,0.000037
26,0.000014,0.000302,0.000287,0.000083,0.000037
27,0.000015,0.000302,0.000304,0.000082,0.000034
28,0.000015,0.000302,0.000317,0.00008,0.000039
29,0.000015,0.000303,0.000289,0.00008,0.000037
30,0.000015,0.000303,0.000261,0.000078,0.000034
31,0.000015,0.000303,0.000301,0.000087,0.000036
32,0.000015,0.000303,0.000284,0.000081,0.000034
33,0.000015,0.000304,0.000283,0.00008,0.000035
34,0.000015,0.000306,0.000287,0.000086,0.000036
35,0.000015,0.000307,0.000287,0.000076,0.000034
36,0.000015,0.000307,0.00026,0.000079,0.000035
37,0.000015,0.000307,0.000276,0.000077,0.000035
38,0.000015,0.000307,0.000276,0.000086,0.000042
39,0.000015,0.000307,0.000272,0.000077,0.000038
40,0.000015,0.000307,0.000291,0.000081,0.000033
41,0.000015,0.000307,0.000268,0.000079,0.000054
42,0.000015,0.000307,0.000268,0.000072,0.000036
43,0.000015,0.000308,0.000278,0.000083,0.000035
44,0.000015,0.000308,0.000288,0.000073,0.000035
45,0.000015,0.000309,0.000275,0.000082,0.000035
46,0.000015,0.000309,0.000296,0.000089,0.000036
47,0.000015,0.000309,0.000271,0.000091,0.000035
48,0.000015,0.000311,0.000282,0.000086,0.000036
49,0.000015,0.000311,0.000296,0.000086,0.000035
50,0.000015,0.000311,0.000261,0.000082,0.000035
51,0.000015,0.000312,0.000283,0.000078,0.000035
52,0.000015,0.000312,0.000278,0.000079,0.000032
53,0.000015,0.000312,0.000264,0.000081,0.000036
54,0.000015,0.000313,0.000305,0.000075,0.000035
55,0.000015,0.000313,0.000285,0.000079,0.000033
56,0.000015,0.000314,0.000291,0.000078,0.000035
57,0.000015,0.000314,0.00027,0.000078,0.000033
58,0.000015,0.000314,0.00028,0.000072,0.000037
59,0.000016,0.000314,0.000279,0.00008,0.000033
60,0.000016,0.000315,0.00027,0.000081,0.000037
61,0.000016,0.000315,0.000272,0.000075,0.000033
62,0.000016,0.000315,0.000291,0.000074,0.000036
63,0.000016,0.000315,0.000277,0.00008,0.00004
64,0.000016,0.000316,0.000293,0.000077,0.000037
65,0.000016,0.000316,0.00029,0.000078,0.000042
66,0.000016,0.000316,0.000314,0.000079,0.000034
67,0.000016,0.000317,0.000297,0.00008,0.000036
68,0.000016,0.000317,0.000287,0.000078,0.000034
69,0.000016,0.000317,0.000285,0.000077,0.000037
70,0.000016,0.000318,0.000288,0.000102,0.000034
71,0.000016,0.000318,0.000275,0.000081,0.000038
72,0.000016,0.000319,0.000307,0.000082,0.000036
73,0.000016,0.00032,0.000283,0.000073,0.000033
74,0.000016,0.000321,0.000293,0.000077,0.00004
75,0.000016,0.000322,0.000302,0.000078,0.000036
76,0.000016,0.000322,0.000269,0.00008,0.000036
77,0.000016,0.000323,0.000286,0.000081,0.000035
78,0.000016,0.000323,0.000288,0.000076,0.000035
79,0.000016,0.000324,0.000255,0.000078,0.000036
80,0.000016,0.000326,0.000281,0.000081,0.000035
81,0.000016,0.000326,0.00031,0.000082,0.000034
82,0.000016,0.000326,0.000292,0.000088,0.000036
83,0.000016,0.000328,0.000294,0.000077,0.000034
84,0.000016,0.000332,0.000304,0.00008,0.000035
85,0.000016,0.000332,0.000276,0.000082,0.000038
86,0.000016,0.000333,0.000292,0.000085,0.000036
87,0.000016,0.000336,0.000289,0.00009,0.000033
88,0.000016,0.000336,0.000278,0.000084,0.000037
89,0.000016,0.000336,0.000257,0.000081,0.000038
90,0.000016,0.000338,0.000295,0.000081,0.000038
91,0.000017,0.000339,0.000268,0.000078,0.000041
92,0.000017,0.00034,0.00028,0.000093,0.00006
93,0.000017,0.000342,0.000275,0.000076,0.000036
94,0.000017,0.000346,0.000279,0.000082,0.000034
95,0.000017,0.000348,0.000281,0.00008,0.000033
96,0.000018,0.000351,0.000286,0.000079,0.000039
97,0.000018,0.000355,0.000262,0.00008,0.000032
98,0.000019,0.000377,0.000282,0.00008,0.000037
99,0.000019,0.000383,0.000294,0.000086,0.000035
100,0.00002,0.000417,0.000319,0.000073,0.000037
101,0.00001522,0.00031439,0.00028583,0.00008139,0.00003671
102,0.00000136806,0.0000209365,0.0000157544,0.00000557655,0.00000406521
103,0.000013,0.000278,0.000255,0.000072,0.000032
104,0.00002,0.000417,0.000339,0.000102,0.00006
