x,one,nsquare,nlogn,n,logn
1,0.000000348,0.000277,0.001319,0.000022,0.000003
2,0.000000415,0.00028,0.000145,0.000024,0.000003
3,0.000000417,0.000282,0.000143,0.000023,0.000003
4,0.000000425,0.000283,0.000139,0.000023,0.000003
5,0.000000428,0.000288,0.000135,0.000026,0.000003
6,0.000000433,0.000288,0.000138,0.000024,0.000003
7,0.000000437,0.00029,0.000133,0.000023,0.000005
8,0.000000437,0.00029,0.000135,0.000023,0.000004
9,0.000000441,0.000293,0.000134,0.000022,0.000002
10,0.000000443,0.000295,0.000136,0.000022,0.000003
11,0.000000444,0.000295,0.000136,0.000023,0.000003
12,0.000000448,0.000296,0.000137,0.000022,0.000003
13,0.000000448,0.000296,0.000136,0.000024,0.000006
14,0.000000451,0.000296,0.000192,0.000023,0.000003
15,0.000000451,0.000296,0.000158,0.000023,0.000002
16,0.000000466,0.000297,0.000136,0.000023,0.000003
17,0.000000466,0.000297,0.000136,0.000022,0.000003
18,0.000000467,0.000298,0.000139,0.000024,0.000003
19,0.000000472,0.000298,0.00013,0.000024,0.000003
20,0.000000475,0.000299,0.000138,0.000023,0.000003
21,0.000000479,0.000299,0.000138,0.000022,0.000003
22,0.000000481,0.0003,0.000129,0.000023,0.000003
23,0.000000481,0.000301,0.000135,0.000023,0.000003
24,0.000000485,0.000301,0.000134,0.000023,0.000003
25,0.000000485,0.000301,0.00013,0.000022,0.000003
26,0.000000486,0.000302,0.000144,0.000022,0.000003
27,0.000000493,0.000302,0.000145,0.000023,0.000003
28,0.000000495,0.000302,0.000145,0.000022,0.000003
29,0.000000499,0.000303,0.000137,0.000023,0.000003
30,0.000000505,0.000304,0.000137,0.000022,0.000003
31,0.000000512,0.000305,0.000137,0.000024,0.000003
32,0.000000516,0.000305,0.000408,0.000023,0.000003
33,0.000000516,0.000305,0.000135,0.000022,0.000003
34,0.000000517,0.000305,0.000136,0.000022,0.000003
35,0.00000052,0.000305,0.000135,0.000022,0.000003
36,0.000000523,0.000306,0.000203,0.000023,0.000004
37,0.000000523,0.000307,0.000137,0.000022,0.000003
38,0.000000527,0.000307,0.000132,0.000021,0.000003
39,0.00000053,0.000307,0.000138,0.000023,0.000003
40,0.000000532,0.000308,0.000134,0.000022,0.000002
41,0.000000534,0.000308,0.000131,0.000022,0.000004
42,0.00000054,0.000308,0.00013,0.000021,0.000003
43,0.000000548,0.000308,0.000136,0.000023,0.000002
44,0.000000549,0.000309,0.000139,0.000021,0.000003
45,0.000000551,0.00031,0.000139,0.000025,0.000003
46,0.000000552,0.00031,0.000137,0.000025,0.000003
47,0.000000556,0.00031,0.000133,0.000024,0.000003
48,0.000000558,0.000311,0.000141,0.000035,0.000003
49,0.000000558,0.000312,0.000134,0.000026,0.000003
50,0.00000056,0.000312,0.000136,0.000024,0.000003
51,0.000000568,0.000312,0.000135,0.000023,0.000003
52,0.000000569,0.000312,0.00014,0.000023,0.000003
53,0.000000569,0.000313,0.000129,0.000023,0.000003
54,0.000000572,0.000314,0.000136,0.000021,0.000003
55,0.000000575,0.000314,0.000136,0.000023,0.000003
56,0.000000576,0.000314,0.000136,0.000023,0.000003
57,0.000000579,0.000315,0.000132,0.000023,0.000003
58,0.00000058,0.000315,0.000135,0.000021,0.000003
59,0.00000058,0.000315,0.000136,0.000023,0.000003
60,0.000000583,0.000315,0.000134,0.000023,0.000003
61,0.000000584,0.000316,0.000133,0.000022,0.000003
62,0.000000585,0.000316,0.000146,0.000027,0.000003
63,0.000000586,0.000316,0.000137,0.000023,0.000003
64,0.000000589,0.000316,0.000151,0.000022,0.000003
65,0.000000611,0.000316,0.000133,0.000024,0.000003
66,0.000000612,0.000317,0.000139,0.000022,0.000003
67,0.000000612,0.000317,0.000147,0.000023,0.000003
