CMDLINE python3 logn.py
MEM 0.500000 1715854225.6895
MEM 23.250000 1715854225.7899
MEM 42.375000 1715854225.8903
MEM 61.500000 1715854225.9908
MEM 80.625000 1715854226.0912
MEM 99.750000 1715854226.1916
MEM 118.875000 1715854226.2920
MEM 137.125000 1715854226.3923
MEM 155.125000 1715854226.4927
MEM 173.125000 1715854226.5930
MEM 191.250000 1715854226.6934
MEM 209.375000 1715854226.7937
MEM 227.375000 1715854226.8942
MEM 245.375000 1715854226.9947
MEM 263.125000 1715854227.0952
MEM 280.000000 1715854227.1957
MEM 296.250000 1715854227.2961
MEM 312.375000 1715854227.3964
MEM 328.375000 1715854227.4968
MEM 346.000000 1715854227.5971
MEM 375.000000 1715854227.6975
MEM 391.875000 1715854227.7979
MEM 292.480469 1715854227.8983
