CMDLINE ./nlogn
MEM 1.375000 1715854230.7419
MEM 14.574219 1715854230.8423
MEM 26.199219 1715854230.9426
MEM 56.074219 1715854231.0431
MEM 41.257812 1715854231.1434
MEM 42.132812 1715854231.2437
MEM 43.382812 1715854231.3440
MEM 43.382812 1715854231.4444
MEM 45.757812 1715854231.5447
MEM 45.757812 1715854231.6451
MEM 45.757812 1715854231.7454
MEM 50.507812 1715854231.8457
MEM 50.507812 1715854231.9461
MEM 50.507812 1715854232.0464
MEM 50.507812 1715854232.1467
MEM 50.507812 1715854232.2471
MEM 50.507812 1715854232.3474
MEM 60.007812 1715854232.4477
MEM 60.007812 1715854232.5480
MEM 60.007812 1715854232.6483
MEM 60.007812 1715854232.7486
MEM 60.007812 1715854232.8489
MEM 60.007812 1715854232.9493
MEM 60.007812 1715854233.0496
MEM 60.007812 1715854233.1499
MEM 60.007812 1715854233.2503
MEM 60.007812 1715854233.3506
MEM 60.007812 1715854233.4510
MEM 60.007812 1715854233.5514
MEM 60.007812 1715854233.6517
MEM 60.007812 1715854233.7520
MEM 79.132812 1715854233.8523
