CMDLINE java nlogn
MEM 0.125000 1715854231.6509
MEM 74.113281 1715854231.7513
MEM 78.238281 1715854231.8517
MEM 79.988281 1715854231.9521
MEM 103.488281 1715854232.0525
MEM 124.363281 1715854232.1528
MEM 158.113281 1715854232.2532
MEM 193.113281 1715854232.3536
MEM 224.863281 1715854232.4539
MEM 239.363281 1715854232.5543
MEM 240.738281 1715854232.6547
MEM 244.863281 1715854232.7551
MEM 249.488281 1715854232.8554
MEM 250.738281 1715854232.9558
MEM 250.738281 1715854233.0562
MEM 250.738281 1715854233.1566
MEM 250.738281 1715854233.2570
MEM 250.988281 1715854233.3573
MEM 250.988281 1715854233.4577
MEM 264.488281 1715854233.5581
MEM 265.738281 1715854233.6584
MEM 269.238281 1715854233.7588
MEM 296.613281 1715854233.8591
MEM 319.613281 1715854233.9595
MEM 319.613281 1715854234.0599
MEM 319.613281 1715854234.1603
MEM 319.613281 1715854234.2606
MEM 319.613281 1715854234.3610
MEM 320.988281 1715854234.4613
MEM 321.113281 1715854234.5617
MEM 321.238281 1715854234.6620
MEM 321.238281 1715854234.7624
MEM 321.238281 1715854234.8628
MEM 321.238281 1715854234.9632
MEM 321.238281 1715854235.0636
MEM 321.238281 1715854235.1640
MEM 321.238281 1715854235.2643
MEM 321.238281 1715854235.3647
MEM 321.238281 1715854235.4651
MEM 321.238281 1715854235.5655
MEM 321.238281 1715854235.6659
MEM 321.238281 1715854235.7662
MEM 322.613281 1715854235.8666
MEM 329.863281 1715854235.9670
MEM 329.863281 1715854236.0674
MEM 330.363281 1715854236.1677
