CMDLINE node nlogn.js
MEM 0.250000 1715854232.6499
MEM 34.988281 1715854232.7503
MEM 85.710938 1715854232.8506
MEM 156.585938 1715854232.9509
MEM 172.074219 1715854233.0513
MEM 244.949219 1715854233.1516
MEM 258.699219 1715854233.2520
MEM 364.542969 1715854233.3523
MEM 183.062500 1715854233.4526
MEM 182.875000 1715854233.5529
MEM 183.437500 1715854233.6533
MEM 182.906250 1715854233.7536
MEM 182.656250 1715854233.8539
MEM 187.031250 1715854233.9542
MEM 183.820312 1715854234.0546
MEM 192.468750 1715854234.1549
MEM 188.277344 1715854234.2552
MEM 187.363281 1715854234.3555
MEM 187.691406 1715854234.4559
MEM 187.644531 1715854234.5562
MEM 191.769531 1715854234.6565
MEM 187.644531 1715854234.7569
MEM 196.914062 1715854234.8572
MEM 211.203125 1715854234.9575
MEM 201.953125 1715854235.0578
MEM 201.703125 1715854235.1581
MEM 201.703125 1715854235.2585
MEM 201.953125 1715854235.3588
MEM 206.078125 1715854235.4591
MEM 201.703125 1715854235.5595
MEM 211.222656 1715854235.6598
MEM 208.472656 1715854235.7601
MEM 206.472656 1715854235.8605
MEM 206.472656 1715854235.9608
MEM 206.722656 1715854236.0611
MEM 207.347656 1715854236.1615
MEM 207.347656 1715854236.2618
MEM 206.472656 1715854236.3621
MEM 225.492188 1715854236.4624
MEM 258.820312 1715854236.5628
MEM 258.820312 1715854236.6631
MEM 240.105469 1715854236.7634
MEM 239.855469 1715854236.8637
MEM 239.855469 1715854236.9640
MEM 240.730469 1715854237.0648
MEM 240.105469 1715854237.1651
MEM 241.855469 1715854237.2654
MEM 249.105469 1715854237.3658
MEM 244.625000 1715854237.4661
MEM 249.375000 1715854237.5664
MEM 246.625000 1715854237.6667
MEM 253.875000 1715854237.7671
MEM 244.875000 1715854237.8675
MEM 245.500000 1715854237.9678
MEM 244.875000 1715854238.0680
MEM 268.433594 1715854238.1684
MEM 260.058594 1715854238.2687
MEM 260.058594 1715854238.3690
MEM 260.933594 1715854238.4693
MEM 268.183594 1715854238.5696
MEM 259.183594 1715854238.6699
MEM 259.183594 1715854238.7702
MEM 259.183594 1715854238.8706
MEM 268.703125 1715854238.9709
MEM 264.578125 1715854239.0712
MEM 263.703125 1715854239.1715
MEM 263.703125 1715854239.2718
MEM 263.953125 1715854239.3720
MEM 268.078125 1715854239.4723
MEM 263.953125 1715854239.5726
MEM 273.222656 1715854239.6729
MEM 296.011719 1715854239.7733
MEM 316.136719 1715854239.8736
MEM 373.335938 1715854239.9739
MEM 373.335938 1715854240.0742
MEM 373.585938 1715854240.1745
