CMDLINE python3 n.py
MEM 0.500000 1715854229.5442
MEM 13.625000 1715854229.6446
MEM 18.750000 1715854229.7450
MEM 22.250000 1715854229.8454
MEM 27.500000 1715854229.9458
MEM 32.750000 1715854230.0462
MEM 37.875000 1715854230.1465
MEM 43.000000 1715854230.2469
MEM 48.250000 1715854230.3473
MEM 53.500000 1715854230.4476
MEM 58.625000 1715854230.5480
MEM 63.875000 1715854230.6483
MEM 69.000000 1715854230.7487
MEM 74.000000 1715854230.8491
MEM 79.125000 1715854230.9494
MEM 84.375000 1715854231.0498
MEM 89.500000 1715854231.1502
MEM 93.875000 1715854231.2505
MEM 96.375000 1715854231.3509
MEM 98.875000 1715854231.4518
MEM 101.375000 1715854231.5522
MEM 103.875000 1715854231.6525
MEM 107.875000 1715854231.7529
MEM 110.750000 1715854231.8532
MEM 113.750000 1715854231.9536
MEM 116.625000 1715854232.0540
MEM 119.625000 1715854232.1543
MEM 122.625000 1715854232.2547
MEM 125.500000 1715854232.3550
MEM 128.500000 1715854232.4554
MEM 131.375000 1715854232.5557
MEM 134.125000 1715854232.6561
MEM 136.750000 1715854232.7564
MEM 139.500000 1715854232.8568
MEM 142.250000 1715854232.9571
MEM 144.875000 1715854233.0575
MEM 147.500000 1715854233.1578
MEM 149.875000 1715854233.2581
MEM 152.125000 1715854233.3585
MEM 154.375000 1715854233.4588
MEM 156.750000 1715854233.5592
MEM 159.000000 1715854233.6595
MEM 161.375000 1715854233.7598
MEM 163.625000 1715854233.8602
MEM 166.000000 1715854233.9605
MEM 168.375000 1715854234.0609
MEM 171.000000 1715854234.1612
MEM 173.500000 1715854234.2615
MEM 176.000000 1715854234.3618
MEM 178.500000 1715854234.4621
MEM 181.000000 1715854234.5624
MEM 183.625000 1715854234.6628
MEM 186.125000 1715854234.7631
MEM 188.750000 1715854234.8634
MEM 191.375000 1715854234.9637
MEM 193.875000 1715854235.0640
MEM 196.375000 1715854235.1643
MEM 198.875000 1715854235.2646
MEM 201.500000 1715854235.3650
MEM 204.000000 1715854235.4653
MEM 206.500000 1715854235.5657
MEM 209.125000 1715854235.6661
MEM 211.625000 1715854235.7665
MEM 214.125000 1715854235.8668
MEM 216.625000 1715854235.9672
MEM 219.250000 1715854236.0676
MEM 221.750000 1715854236.1679
MEM 226.000000 1715854236.2802
MEM 228.750000 1715854236.3806
MEM 231.375000 1715854236.4809
MEM 234.000000 1715854236.5813
MEM 236.625000 1715854236.6817
MEM 239.125000 1715854236.7821
MEM 241.625000 1715854236.8825
MEM 244.125000 1715854236.9829
MEM 246.750000 1715854237.0832
MEM 249.250000 1715854237.1836
MEM 251.750000 1715854237.2840
MEM 254.375000 1715854237.3878
MEM 257.000000 1715854237.4881
MEM 259.375000 1715854237.5884
MEM 262.000000 1715854237.6888
MEM 264.500000 1715854237.7892
MEM 267.000000 1715854237.8896
MEM 269.625000 1715854237.9900
MEM 272.125000 1715854238.0904
MEM 274.750000 1715854238.1908
MEM 277.125000 1715854238.2912
MEM 279.750000 1715854238.3915
MEM 282.250000 1715854238.4920
MEM 284.750000 1715854238.5924
MEM 287.375000 1715854238.6927
MEM 289.875000 1715854238.7931
MEM 292.375000 1715854238.8935
MEM 295.000000 1715854238.9939
MEM 297.500000 1715854239.0943
MEM 300.125000 1715854239.1947
MEM 302.625000 1715854239.2952
MEM 305.125000 1715854239.3955
MEM 307.750000 1715854239.4959
MEM 310.250000 1715854239.5963
MEM 312.875000 1715854239.6967
MEM 315.500000 1715854239.7972
MEM 318.125000 1715854239.8976
MEM 321.000000 1715854239.9979
MEM 323.500000 1715854240.0983
MEM 326.125000 1715854240.1987
MEM 329.750000 1715854240.2991
MEM 333.000000 1715854240.3995
MEM 336.250000 1715854240.5000
MEM 339.625000 1715854240.6004
MEM 342.875000 1715854240.7008
MEM 346.250000 1715854240.8012
MEM 349.500000 1715854240.9016
MEM 352.875000 1715854241.0020
MEM 356.125000 1715854241.1025
MEM 359.500000 1715854241.2029
MEM 362.750000 1715854241.3033
MEM 366.125000 1715854241.4037
MEM 369.375000 1715854241.5041
MEM 372.750000 1715854241.6045
MEM 376.000000 1715854241.7050
MEM 379.375000 1715854241.8054
MEM 382.625000 1715854241.9058
MEM 386.000000 1715854242.0062
MEM 389.250000 1715854242.1066
MEM 391.875000 1715854242.2070
MEM 391.875000 1715854242.3074
MEM 468.250000 1715854242.4079
MEM 468.250000 1715854242.5083
MEM 468.250000 1715854242.6087
MEM 468.250000 1715854242.7092
MEM 468.250000 1715854242.8096
MEM 468.250000 1715854242.9100
MEM 468.250000 1715854243.0104
MEM 468.250000 1715854243.1108
MEM 468.250000 1715854243.2113
MEM 468.250000 1715854243.3117
