CMDLINE ./nsquare
MEM 0.375000 1715854234.7217
MEM 13.820312 1715854234.8222
MEM 25.195312 1715854234.9226
MEM 35.070312 1715854235.0229
MEM 41.195312 1715854235.1233
MEM 41.195312 1715854235.2238
MEM 41.195312 1715854235.3241
MEM 41.195312 1715854235.4245
MEM 41.195312 1715854235.5249
MEM 41.195312 1715854235.6253
MEM 41.195312 1715854235.7256
MEM 41.195312 1715854235.8260
MEM 41.195312 1715854235.9264
MEM 41.195312 1715854236.0268
MEM 41.195312 1715854236.1272
MEM 41.195312 1715854236.2277
MEM 41.195312 1715854236.3281
MEM 41.195312 1715854236.4284
MEM 41.195312 1715854236.5288
MEM 41.195312 1715854236.6292
MEM 41.195312 1715854236.7296
MEM 41.195312 1715854236.8300
MEM 41.195312 1715854236.9304
MEM 41.195312 1715854237.0308
MEM 41.195312 1715854237.1312
MEM 41.195312 1715854237.2316
MEM 41.195312 1715854237.3320
MEM 41.195312 1715854237.4323
MEM 41.195312 1715854237.5327
MEM 41.195312 1715854237.6331
MEM 41.195312 1715854237.7335
MEM 41.195312 1715854237.8339
MEM 41.195312 1715854237.9343
MEM 41.195312 1715854238.0347
MEM 41.195312 1715854238.1351
MEM 41.195312 1715854238.2355
MEM 41.195312 1715854238.3359
MEM 41.195312 1715854238.4363
MEM 41.195312 1715854238.5367
MEM 41.195312 1715854238.6371
MEM 41.195312 1715854238.7375
MEM 41.195312 1715854238.8379
MEM 41.195312 1715854238.9383
MEM 41.195312 1715854239.0387
MEM 41.195312 1715854239.1391
MEM 41.195312 1715854239.2395
MEM 41.195312 1715854239.3399
MEM 41.195312 1715854239.4402
MEM 41.195312 1715854239.5406
MEM 41.195312 1715854239.6410
MEM 41.195312 1715854239.7414
MEM 41.195312 1715854239.8419
MEM 41.195312 1715854239.9423
MEM 41.195312 1715854240.0426
MEM 41.195312 1715854240.1430
MEM 41.195312 1715854240.2434
MEM 41.195312 1715854240.3438
MEM 41.195312 1715854240.4442
MEM 41.195312 1715854240.5446
MEM 41.195312 1715854240.6450
MEM 41.195312 1715854240.7454
MEM 41.195312 1715854240.8458
MEM 41.195312 1715854240.9462
MEM 41.195312 1715854241.0466
MEM 41.195312 1715854241.1470
MEM 41.195312 1715854241.2474
MEM 41.195312 1715854241.3478
MEM 41.195312 1715854241.4481
MEM 41.195312 1715854241.5485
MEM 41.195312 1715854241.6489
MEM 41.195312 1715854241.7493
MEM 41.195312 1715854241.8497
MEM 41.195312 1715854241.9501
MEM 41.195312 1715854242.0505
MEM 41.195312 1715854242.1509
MEM 41.195312 1715854242.2512
MEM 41.195312 1715854242.3517
MEM 41.195312 1715854242.4521
MEM 41.195312 1715854242.5524
MEM 41.195312 1715854242.6528
MEM 41.195312 1715854242.7532
MEM 41.195312 1715854242.8536
MEM 41.195312 1715854242.9540
MEM 41.195312 1715854243.0544
MEM 41.195312 1715854243.1548
MEM 41.195312 1715854243.2552
MEM 41.195312 1715854243.3556
MEM 41.195312 1715854243.4560
MEM 41.195312 1715854243.5564
MEM 41.195312 1715854243.6568
MEM 41.195312 1715854243.7572
MEM 41.195312 1715854243.8576
MEM 41.195312 1715854243.9580
MEM 41.195312 1715854244.0583
MEM 41.195312 1715854244.1588
MEM 41.195312 1715854244.2592
MEM 41.195312 1715854244.3596
MEM 41.195312 1715854244.4600
MEM 41.195312 1715854244.5604
MEM 41.195312 1715854244.6608
MEM 41.195312 1715854244.7612
MEM 41.195312 1715854244.8615
MEM 41.195312 1715854244.9620
MEM 41.195312 1715854245.0623
MEM 41.195312 1715854245.1627
MEM 41.195312 1715854245.2631
MEM 41.195312 1715854245.3634
MEM 41.195312 1715854245.4638
MEM 41.195312 1715854245.5641
MEM 41.195312 1715854245.6644
MEM 41.195312 1715854245.7648
MEM 41.195312 1715854245.8652
MEM 41.195312 1715854245.9655
MEM 41.195312 1715854246.0659
MEM 41.195312 1715854246.1663
