CMDLINE python3 nsquare.py
MEM 0.000000 1715854237.7372
MEM 11.125000 1715854237.8376
MEM 13.625000 1715854237.9379
MEM 16.125000 1715854238.0383
MEM 18.625000 1715854238.1386
MEM 21.000000 1715854238.2390
MEM 23.375000 1715854238.3394
MEM 25.875000 1715854238.4398
MEM 28.250000 1715854238.5401
MEM 30.625000 1715854238.6404
MEM 33.000000 1715854238.7408
MEM 35.375000 1715854238.8412
MEM 37.750000 1715854238.9415
MEM 40.250000 1715854239.0419
MEM 42.625000 1715854239.1423
MEM 45.000000 1715854239.2426
MEM 47.375000 1715854239.3430
MEM 49.750000 1715854239.4433
MEM 52.250000 1715854239.5437
MEM 54.625000 1715854239.6441
MEM 57.125000 1715854239.7445
MEM 59.500000 1715854239.8448
MEM 61.875000 1715854239.9452
MEM 64.250000 1715854240.0455
MEM 66.750000 1715854240.1459
MEM 69.125000 1715854240.2463
MEM 71.500000 1715854240.3466
MEM 73.875000 1715854240.4470
MEM 76.500000 1715854240.5473
MEM 79.000000 1715854240.6477
MEM 81.500000 1715854240.7480
MEM 84.000000 1715854240.8484
MEM 86.625000 1715854240.9487
MEM 89.125000 1715854241.0490
MEM 91.625000 1715854241.1494
MEM 94.250000 1715854241.2497
MEM 96.750000 1715854241.3500
MEM 99.250000 1715854241.4503
MEM 101.875000 1715854241.5507
MEM 104.375000 1715854241.6510
MEM 107.000000 1715854241.7513
MEM 109.500000 1715854241.8516
MEM 112.000000 1715854241.9520
MEM 114.625000 1715854242.0523
MEM 117.125000 1715854242.1526
MEM 119.625000 1715854242.2529
MEM 122.125000 1715854242.3533
MEM 124.750000 1715854242.4536
MEM 127.250000 1715854242.5539
MEM 129.750000 1715854242.6542
MEM 132.250000 1715854242.7545
MEM 134.875000 1715854242.8549
MEM 137.375000 1715854242.9552
MEM 139.875000 1715854243.0556
MEM 142.375000 1715854243.1559
MEM 144.875000 1715854243.2562
MEM 147.500000 1715854243.3565
MEM 150.000000 1715854243.4569
MEM 152.500000 1715854243.5572
MEM 155.000000 1715854243.6575
MEM 157.625000 1715854243.7578
MEM 160.125000 1715854243.8582
MEM 162.625000 1715854243.9585
MEM 165.250000 1715854244.0588
MEM 167.750000 1715854244.1591
MEM 170.250000 1715854244.2595
MEM 172.750000 1715854244.3598
MEM 175.375000 1715854244.4600
MEM 177.875000 1715854244.5604
MEM 180.375000 1715854244.6608
MEM 182.875000 1715854244.7612
MEM 185.500000 1715854244.8615
MEM 188.000000 1715854244.9619
MEM 190.500000 1715854245.0623
MEM 193.125000 1715854245.1627
MEM 195.625000 1715854245.2630
MEM 198.125000 1715854245.3634
MEM 200.750000 1715854245.4638
MEM 203.250000 1715854245.5641
MEM 205.750000 1715854245.6644
MEM 208.375000 1715854245.7648
MEM 210.875000 1715854245.8652
MEM 213.375000 1715854245.9659
MEM 215.875000 1715854246.0662
MEM 218.500000 1715854246.1666
MEM 221.000000 1715854246.2669
MEM 223.500000 1715854246.3672
MEM 226.125000 1715854246.4675
MEM 228.500000 1715854246.5679
MEM 231.000000 1715854246.6682
MEM 233.500000 1715854246.7686
MEM 235.375000 1715854246.8690
MEM 237.000000 1715854246.9693
MEM 238.375000 1715854247.0697
MEM 240.125000 1715854247.1700
MEM 241.875000 1715854247.2704
MEM 243.750000 1715854247.3708
MEM 245.875000 1715854247.4712
MEM 248.500000 1715854247.5715
MEM 251.000000 1715854247.6719
MEM 253.500000 1715854247.7723
MEM 256.125000 1715854247.8726
MEM 258.750000 1715854247.9731
MEM 261.250000 1715854248.0734
MEM 263.875000 1715854248.1738
MEM 266.375000 1715854248.2742
MEM 269.000000 1715854248.3746
MEM 271.500000 1715854248.4749
MEM 274.125000 1715854248.5753
MEM 276.625000 1715854248.6757
MEM 279.250000 1715854248.7761
MEM 281.750000 1715854248.8764
MEM 284.375000 1715854248.9768
MEM 286.875000 1715854249.0772
MEM 289.500000 1715854249.1775
MEM 292.000000 1715854249.2779
MEM 294.625000 1715854249.3783
MEM 297.250000 1715854249.4787
MEM 299.750000 1715854249.5791
MEM 302.375000 1715854249.6794
MEM 304.875000 1715854249.7798
MEM 307.500000 1715854249.8802
MEM 310.000000 1715854249.9806
MEM 312.625000 1715854250.0810
MEM 315.125000 1715854250.1814
MEM 317.750000 1715854250.2818
MEM 320.250000 1715854250.3821
MEM 322.875000 1715854250.4825
MEM 325.500000 1715854250.5829
MEM 328.000000 1715854250.6833
MEM 330.625000 1715854250.7837
MEM 333.125000 1715854250.8841
MEM 335.750000 1715854250.9845
MEM 338.250000 1715854251.0848
MEM 340.875000 1715854251.1852
MEM 343.375000 1715854251.2856
MEM 347.875000 1715854251.3860
MEM 350.375000 1715854251.4864
MEM 353.000000 1715854251.5868
MEM 355.500000 1715854251.6871
MEM 358.125000 1715854251.7875
MEM 360.375000 1715854251.8879
MEM 362.250000 1715854251.9883
MEM 364.875000 1715854252.0923
MEM 367.500000 1715854252.1927
MEM 371.750000 1715854252.2931
MEM 374.250000 1715854252.3935
MEM 376.750000 1715854252.4939
MEM 379.250000 1715854252.5943
MEM 382.000000 1715854252.6947
MEM 383.750000 1715854252.7951
MEM 386.000000 1715854252.8966
MEM 388.000000 1715854252.9971
MEM 389.625000 1715854253.0977
MEM 391.750000 1715854253.1982
MEM 391.750000 1715854253.2986
MEM 391.750000 1715854253.3991
MEM 391.750000 1715854253.4995
MEM 391.750000 1715854253.6000
MEM 391.750000 1715854253.7004
MEM 391.750000 1715854253.8008
MEM 391.750000 1715854253.9012
MEM 391.750000 1715854254.0017
MEM 391.750000 1715854254.1020
MEM 391.750000 1715854254.2024
MEM 391.750000 1715854254.3028
MEM 391.750000 1715854254.4032
MEM 391.750000 1715854254.5036
MEM 391.750000 1715854254.6040
MEM 391.750000 1715854254.7044
MEM 391.750000 1715854254.8048
MEM 391.750000 1715854254.9051
MEM 391.750000 1715854255.0055
MEM 391.750000 1715854255.1059
MEM 391.750000 1715854255.2062
MEM 391.750000 1715854255.3066
MEM 391.750000 1715854255.4070
MEM 391.750000 1715854255.5074
MEM 391.750000 1715854255.6078
MEM 391.750000 1715854255.7081
MEM 391.750000 1715854255.8084
MEM 391.750000 1715854255.9087
MEM 391.750000 1715854256.0091
MEM 391.750000 1715854256.1095
MEM 391.750000 1715854256.2098
MEM 391.750000 1715854256.3103
MEM 391.750000 1715854256.4107
MEM 391.750000 1715854256.5110
MEM 391.750000 1715854256.6113
MEM 391.750000 1715854256.7117
MEM 391.750000 1715854256.8120
MEM 391.750000 1715854256.9124
MEM 391.750000 1715854257.0127
MEM 391.750000 1715854257.1130
MEM 391.750000 1715854257.2134
MEM 391.750000 1715854257.3137
MEM 391.750000 1715854257.4141
MEM 391.750000 1715854257.5144
MEM 391.750000 1715854257.6147
MEM 391.750000 1715854257.7151
MEM 391.750000 1715854257.8154
MEM 391.750000 1715854257.9158
MEM 391.750000 1715854258.0160
MEM 391.750000 1715854258.1164
MEM 391.750000 1715854258.2168
MEM 391.750000 1715854258.3172
