CMDLINE python3 one.py
MEM 0.500000 1715854221.6726
MEM 12.125000 1715854221.7730
MEM 15.875000 1715854221.8735
MEM 19.625000 1715854221.9739
MEM 23.375000 1715854222.0744
MEM 27.125000 1715854222.1750
MEM 30.875000 1715854222.2753
MEM 34.500000 1715854222.3758
MEM 38.125000 1715854222.4761
MEM 41.625000 1715854222.5764
MEM 45.125000 1715854222.6768
MEM 48.625000 1715854222.7772
MEM 52.125000 1715854222.8776
MEM 55.750000 1715854222.9781
MEM 59.500000 1715854223.0785
MEM 63.125000 1715854223.1790
MEM 66.875000 1715854223.2794
MEM 70.625000 1715854223.3799
MEM 74.375000 1715854223.4803
MEM 78.250000 1715854223.5808
MEM 81.875000 1715854223.6812
MEM 85.625000 1715854223.7817
MEM 89.375000 1715854223.8822
MEM 93.000000 1715854223.9827
MEM 96.750000 1715854224.0831
MEM 100.500000 1715854224.1834
MEM 104.250000 1715854224.2838
MEM 108.000000 1715854224.3842
MEM 111.750000 1715854224.4845
MEM 115.500000 1715854224.5849
MEM 119.250000 1715854224.6853
MEM 122.875000 1715854224.7857
MEM 126.625000 1715854224.8862
MEM 130.250000 1715854224.9866
MEM 133.875000 1715854225.0870
MEM 137.500000 1715854225.1874
MEM 141.125000 1715854225.2878
MEM 144.875000 1715854225.3882
MEM 148.625000 1715854225.4886
MEM 152.125000 1715854225.5890
MEM 155.750000 1715854225.6893
MEM 159.500000 1715854225.7897
MEM 163.125000 1715854225.8901
MEM 167.000000 1715854225.9905
MEM 170.750000 1715854226.0909
MEM 174.375000 1715854226.1913
MEM 178.125000 1715854226.2916
MEM 181.750000 1715854226.3920
MEM 185.250000 1715854226.4924
MEM 188.750000 1715854226.5929
MEM 192.250000 1715854226.6933
MEM 195.750000 1715854226.7937
MEM 199.250000 1715854226.8941
MEM 202.750000 1715854226.9946
MEM 206.125000 1715854227.0950
MEM 209.500000 1715854227.1956
MEM 212.625000 1715854227.2960
MEM 215.625000 1715854227.3964
MEM 218.750000 1715854227.4967
MEM 221.875000 1715854227.5971
MEM 224.750000 1715854227.6975
MEM 227.875000 1715854227.7979
MEM 230.875000 1715854227.8983
MEM 233.750000 1715854227.9987
MEM 236.875000 1715854228.0991
MEM 239.875000 1715854228.1997
MEM 243.125000 1715854228.3002
MEM 246.250000 1715854228.4006
MEM 249.250000 1715854228.5010
MEM 252.375000 1715854228.6015
MEM 255.500000 1715854228.7019
MEM 258.625000 1715854228.8023
MEM 261.625000 1715854228.9027
MEM 265.000000 1715854229.0031
MEM 268.250000 1715854229.1036
MEM 271.625000 1715854229.2041
MEM 274.875000 1715854229.3046
MEM 278.375000 1715854229.4049
MEM 281.750000 1715854229.5054
MEM 285.125000 1715854229.6059
MEM 288.375000 1715854229.7063
MEM 291.625000 1715854229.8067
MEM 295.000000 1715854229.9071
MEM 298.250000 1715854230.0075
MEM 301.625000 1715854230.1079
MEM 305.250000 1715854230.2083
MEM 308.500000 1715854230.3087
MEM 311.875000 1715854230.4090
MEM 315.125000 1715854230.5094
MEM 318.375000 1715854230.6097
MEM 321.500000 1715854230.7101
MEM 324.625000 1715854230.8105
MEM 327.750000 1715854230.9109
MEM 330.875000 1715854231.0112
MEM 333.875000 1715854231.1116
MEM 337.000000 1715854231.2120
MEM 340.125000 1715854231.3124
MEM 343.250000 1715854231.4128
MEM 346.250000 1715854231.5130
MEM 349.375000 1715854231.6134
MEM 352.625000 1715854231.7149
MEM 355.625000 1715854231.8153
MEM 358.750000 1715854231.9158
MEM 361.875000 1715854232.0161
MEM 365.000000 1715854232.1165
MEM 368.125000 1715854232.2170
MEM 371.250000 1715854232.3173
MEM 374.250000 1715854232.4177
MEM 377.375000 1715854232.5181
MEM 380.375000 1715854232.6185
MEM 383.250000 1715854232.7188
MEM 386.125000 1715854232.8193
MEM 389.125000 1715854232.9197
MEM 392.000000 1715854233.0201
MEM 196.753906 1715854233.1205
