CMDLINE python3 nlogn.py
MEM 1.000000 1715851278.7224
MEM 17.750000 1715851278.8227
MEM 27.500000 1715851278.9230
MEM 37.250000 1715851279.0232
MEM 47.000000 1715851279.1235
MEM 47.500000 1715851279.2239
MEM 47.417969 1715851279.3242
MEM 47.417969 1715851279.4246
MEM 47.417969 1715851279.5249
MEM 47.667969 1715851279.6252
MEM 47.667969 1715851279.7255
MEM 47.417969 1715851279.8258
MEM 47.417969 1715851279.9262
MEM 47.667969 1715851280.0265
MEM 47.667969 1715851280.1269
MEM 48.167969 1715851280.2272
MEM 48.167969 1715851280.3275
MEM 48.167969 1715851280.4277
MEM 51.167969 1715851280.5280
MEM 47.417969 1715851280.6283
MEM 47.417969 1715851280.7287
MEM 47.667969 1715851280.8289
MEM 48.167969 1715851280.9292
MEM 48.167969 1715851281.0294
MEM 48.167969 1715851281.1297
MEM 48.167969 1715851281.2300
MEM 49.167969 1715851281.3305
MEM 49.167969 1715851281.4309
MEM 49.167969 1715851281.5312
MEM 49.167969 1715851281.6315
MEM 49.167969 1715851281.7317
MEM 49.167969 1715851281.8321
MEM 49.167969 1715851281.9323
MEM 51.042969 1715851282.0327
MEM 55.011719 1715851282.1331
MEM 55.011719 1715851282.2334
