CMDLINE java nsquare
MEM 0.250000 1715853666.9663
MEM 38.863281 1715853667.0669
MEM 43.738281 1715853667.1674
MEM 43.738281 1715853667.2679
MEM 43.738281 1715853667.3683
MEM 43.738281 1715853667.4688
MEM 43.738281 1715853667.5693
MEM 43.738281 1715853667.6697
MEM 43.738281 1715853667.7702
MEM 43.738281 1715853667.8707
MEM 43.738281 1715853667.9712
MEM 43.738281 1715853668.0717
MEM 43.738281 1715853668.1722
MEM 43.738281 1715853668.2727
MEM 43.738281 1715853668.3732
MEM 43.738281 1715853668.4737
MEM 43.738281 1715853668.5742
MEM 43.738281 1715853668.6747
MEM 43.738281 1715853668.7752
MEM 43.738281 1715853668.8757
MEM 43.738281 1715853668.9762
MEM 43.738281 1715853669.0766
MEM 43.738281 1715853669.1771
MEM 43.738281 1715853669.2776
MEM 43.738281 1715853669.3781
MEM 43.738281 1715853669.4785
MEM 43.738281 1715853669.5790
MEM 43.738281 1715853669.6796
MEM 43.738281 1715853669.7801
MEM 43.738281 1715853669.8805
MEM 43.738281 1715853669.9810
MEM 43.738281 1715853670.0814
MEM 43.738281 1715853670.1819
MEM 43.738281 1715853670.2823
MEM 43.738281 1715853670.3828
MEM 43.738281 1715853670.4833
MEM 43.738281 1715853670.5837
MEM 43.738281 1715853670.6842
MEM 43.738281 1715853670.7846
MEM 43.738281 1715853670.8850
MEM 43.738281 1715853670.9855
MEM 43.738281 1715853671.0861
MEM 43.738281 1715853671.1866
MEM 43.738281 1715853671.2871
MEM 43.738281 1715853671.3876
MEM 43.738281 1715853671.4881
MEM 43.738281 1715853671.5886
MEM 43.738281 1715853671.6892
MEM 43.738281 1715853671.7897
MEM 43.738281 1715853671.8902
MEM 43.738281 1715853671.9908
MEM 43.738281 1715853672.0914
MEM 43.738281 1715853672.1919
MEM 43.738281 1715853672.2924
MEM 43.738281 1715853672.3930
MEM 43.738281 1715853672.4935
MEM 43.738281 1715853672.5940
MEM 43.738281 1715853672.6946
MEM 43.738281 1715853672.7951
MEM 43.738281 1715853672.8957
MEM 43.738281 1715853672.9962
MEM 43.738281 1715853673.0966
MEM 43.738281 1715853673.1971
MEM 43.738281 1715853673.2975
MEM 43.738281 1715853673.3980
MEM 43.738281 1715853673.4985
MEM 43.738281 1715853673.5990
MEM 43.738281 1715853673.6994
MEM 43.738281 1715853673.8000
MEM 43.738281 1715853673.9004
MEM 43.738281 1715853674.0009
MEM 43.738281 1715853674.1013
MEM 43.738281 1715853674.2018
MEM 43.738281 1715853674.3023
MEM 43.738281 1715853674.4028
MEM 43.738281 1715853674.5032
MEM 43.738281 1715853674.6037
MEM 43.738281 1715853674.7042
MEM 43.738281 1715853674.8046
MEM 43.738281 1715853674.9050
MEM 43.738281 1715853675.0054
MEM 43.738281 1715853675.1058
MEM 43.738281 1715853675.2063
MEM 43.738281 1715853675.3067
MEM 43.738281 1715853675.4072
MEM 43.738281 1715853675.5077
MEM 43.738281 1715853675.6081
MEM 43.738281 1715853675.7085
MEM 43.738281 1715853675.8090
MEM 43.738281 1715853675.9094
MEM 43.738281 1715853676.0099
MEM 43.738281 1715853676.1104
MEM 43.738281 1715853676.2109
MEM 43.738281 1715853676.3114
MEM 43.738281 1715853676.4120
MEM 43.738281 1715853676.5124
MEM 43.738281 1715853676.6129
MEM 43.738281 1715853676.7134
MEM 43.738281 1715853676.8139
MEM 43.738281 1715853676.9145
MEM 43.738281 1715853677.0150
MEM 43.738281 1715853677.1154
MEM 43.738281 1715853677.2184
MEM 43.738281 1715853677.3188
MEM 43.738281 1715853677.4192
MEM 43.738281 1715853677.5195
MEM 43.738281 1715853677.6199
MEM 43.738281 1715853677.7202
MEM 43.738281 1715853677.8206
MEM 43.738281 1715853677.9209
MEM 43.738281 1715853678.0213
MEM 43.738281 1715853678.1216
MEM 43.738281 1715853678.2220
MEM 43.738281 1715853678.3224
MEM 43.738281 1715853678.4229
MEM 43.738281 1715853678.5232
MEM 43.738281 1715853678.6236
MEM 43.738281 1715853678.7241
MEM 43.738281 1715853678.8245
MEM 43.738281 1715853678.9249
MEM 43.738281 1715853679.0252
MEM 43.738281 1715853679.1256
MEM 43.738281 1715853679.2259
MEM 43.738281 1715853679.3262
MEM 43.738281 1715853679.4267
MEM 43.738281 1715853679.5272
MEM 43.738281 1715853679.6276
MEM 43.738281 1715853679.7280
MEM 43.738281 1715853679.8283
MEM 43.738281 1715853679.9287
MEM 43.738281 1715853680.0290
MEM 43.738281 1715853680.1294
MEM 43.738281 1715853680.2299
MEM 43.738281 1715853680.3303
MEM 43.738281 1715853680.4307
MEM 43.738281 1715853680.5312
MEM 43.738281 1715853680.6316
MEM 43.738281 1715853680.7321
MEM 43.738281 1715853680.8325
MEM 43.738281 1715853680.9330
MEM 43.738281 1715853681.0334
MEM 43.738281 1715853681.1338
MEM 43.738281 1715853681.2342
MEM 43.738281 1715853681.3347
MEM 43.738281 1715853681.4351
MEM 43.738281 1715853681.5356
MEM 43.738281 1715853681.6362
MEM 43.738281 1715853681.7367
MEM 43.738281 1715853681.8371
MEM 43.738281 1715853681.9376
MEM 43.738281 1715853682.0381
MEM 43.738281 1715853682.1406
MEM 43.738281 1715853682.2411
MEM 43.738281 1715853682.3417
MEM 43.738281 1715853682.4423
MEM 43.738281 1715853682.5427
MEM 43.738281 1715853682.6432
MEM 43.738281 1715853682.7437
MEM 43.738281 1715853682.8442
MEM 43.738281 1715853682.9447
MEM 43.738281 1715853683.0451
MEM 43.738281 1715853683.1456
MEM 43.738281 1715853683.2459
MEM 43.738281 1715853683.3463
MEM 43.738281 1715853683.4467
MEM 43.738281 1715853683.5471
MEM 43.738281 1715853683.6475
MEM 43.738281 1715853683.7478
MEM 43.738281 1715853683.8482
MEM 43.738281 1715853683.9486
MEM 43.738281 1715853684.0489
MEM 43.738281 1715853684.1493
MEM 43.738281 1715853684.2496
MEM 43.738281 1715853684.3501
MEM 43.738281 1715853684.4505
MEM 43.738281 1715853684.5509
MEM 43.738281 1715853684.6512
MEM 43.738281 1715853684.7516
MEM 43.738281 1715853684.8520
MEM 43.738281 1715853684.9524
MEM 43.738281 1715853685.0527
MEM 43.738281 1715853685.1531
MEM 43.738281 1715853685.2535
MEM 43.738281 1715853685.3539
MEM 43.738281 1715853685.4543
MEM 43.738281 1715853685.5546
MEM 43.738281 1715853685.6550
MEM 43.738281 1715853685.7554
MEM 43.738281 1715853685.8558
MEM 43.738281 1715853685.9562
MEM 43.738281 1715853686.0566
MEM 43.738281 1715853686.1571
MEM 43.738281 1715853686.2575
MEM 43.738281 1715853686.3579
MEM 43.738281 1715853686.4583
MEM 43.738281 1715853686.5588
MEM 43.738281 1715853686.6593
MEM 43.738281 1715853686.7597
MEM 43.738281 1715853686.8601
MEM 43.738281 1715853686.9605
MEM 43.738281 1715853687.0609
MEM 43.738281 1715853687.1614
MEM 43.738281 1715853687.2618
MEM 43.738281 1715853687.3623
MEM 43.738281 1715853687.4629
MEM 43.738281 1715853687.5633
MEM 43.738281 1715853687.6638
MEM 43.738281 1715853687.7642
MEM 43.738281 1715853687.8646
MEM 43.738281 1715853687.9651
MEM 43.738281 1715853688.0655
MEM 43.738281 1715853688.1660
MEM 43.738281 1715853688.2664
MEM 43.738281 1715853688.3668
MEM 43.738281 1715853688.4672
MEM 43.738281 1715853688.5676
MEM 43.738281 1715853688.6681
MEM 43.738281 1715853688.7685
MEM 43.738281 1715853688.8690
MEM 43.738281 1715853688.9694
MEM 43.738281 1715853689.0698
MEM 43.738281 1715853689.1703
MEM 43.738281 1715853689.2707
MEM 43.738281 1715853689.3711
MEM 43.738281 1715853689.4715
MEM 43.738281 1715853689.5720
MEM 43.738281 1715853689.6725
MEM 43.738281 1715853689.7729
MEM 43.738281 1715853689.8734
MEM 43.738281 1715853689.9738
MEM 43.738281 1715853690.0742
MEM 43.738281 1715853690.1746
MEM 43.738281 1715853690.2751
MEM 43.738281 1715853690.3756
MEM 43.738281 1715853690.4760
MEM 43.738281 1715853690.5765
MEM 43.738281 1715853690.6769
MEM 43.738281 1715853690.7772
MEM 43.738281 1715853690.8777
MEM 43.738281 1715853690.9781
MEM 43.738281 1715853691.0786
MEM 43.738281 1715853691.1792
MEM 43.738281 1715853691.2797
MEM 43.738281 1715853691.3805
MEM 43.738281 1715853691.4810
MEM 43.738281 1715853691.5814
MEM 43.738281 1715853691.6818
MEM 43.738281 1715853691.7823
MEM 43.738281 1715853691.8827
MEM 43.738281 1715853691.9832
MEM 43.738281 1715853692.0841
MEM 43.738281 1715853692.1845
MEM 43.738281 1715853692.2849
MEM 43.738281 1715853692.3853
MEM 43.738281 1715853692.4857
MEM 43.738281 1715853692.5862
MEM 43.738281 1715853692.6867
MEM 43.738281 1715853692.7871
MEM 43.738281 1715853692.8875
MEM 43.738281 1715853692.9880
MEM 43.738281 1715853693.0884
MEM 43.738281 1715853693.1889
MEM 43.738281 1715853693.2893
MEM 43.738281 1715853693.3898
MEM 43.738281 1715853693.4902
MEM 43.738281 1715853693.5906
MEM 43.738281 1715853693.6910
MEM 43.738281 1715853693.7914
MEM 43.738281 1715853693.8918
MEM 43.738281 1715853693.9921
MEM 43.738281 1715853694.0925
MEM 43.738281 1715853694.1929
MEM 43.738281 1715853694.2934
MEM 43.738281 1715853694.3938
MEM 43.738281 1715853694.4942
MEM 43.738281 1715853694.5946
MEM 43.738281 1715853694.6950
MEM 43.738281 1715853694.7954
MEM 43.738281 1715853694.8958
MEM 43.738281 1715853694.9961
MEM 43.738281 1715853695.0965
MEM 43.738281 1715853695.1969
MEM 43.738281 1715853695.2973
MEM 43.738281 1715853695.3976
MEM 43.738281 1715853695.4980
MEM 43.738281 1715853695.5984
MEM 43.738281 1715853695.6988
MEM 43.738281 1715853695.7992
MEM 43.738281 1715853695.8996
MEM 43.738281 1715853695.9999
MEM 43.738281 1715853696.1003
MEM 43.738281 1715853696.2006
MEM 43.738281 1715853696.3010
MEM 43.738281 1715853696.4014
MEM 43.738281 1715853696.5017
MEM 43.738281 1715853696.6020
MEM 43.738281 1715853696.7024
MEM 43.738281 1715853696.8030
MEM 43.738281 1715853696.9033
MEM 43.738281 1715853697.0039
MEM 43.738281 1715853697.1043
MEM 43.738281 1715853697.2048
MEM 43.738281 1715853697.3052
MEM 43.738281 1715853697.4057
MEM 43.738281 1715853697.5061
MEM 43.738281 1715853697.6066
MEM 43.738281 1715853697.7071
MEM 43.738281 1715853697.8076
MEM 43.738281 1715853697.9081
MEM 43.738281 1715853698.0085
MEM 43.738281 1715853698.1090
MEM 43.738281 1715853698.2094
MEM 43.738281 1715853698.3099
MEM 43.738281 1715853698.4102
MEM 43.738281 1715853698.5106
