CMDLINE node nlogn.js
MEM 0.625000 1715786423.2193
MEM 123.660156 1715786423.3197
MEM 239.812500 1715786423.4201
MEM 364.105469 1715786423.5204
MEM 183.167969 1715786423.6208
MEM 183.152344 1715786423.7211
MEM 191.847656 1715786423.8214
MEM 189.187500 1715786423.9218
MEM 191.546875 1715786424.0222
MEM 210.886719 1715786424.1226
MEM 201.636719 1715786424.2229
MEM 202.652344 1715786424.3232
MEM 210.925781 1715786424.4235
MEM 206.109375 1715786424.5239
MEM 206.507812 1715786424.6242
MEM 229.964844 1715786424.7246
MEM 239.964844 1715786424.8251
MEM 244.273438 1715786424.9255
MEM 240.437500 1715786425.0258
MEM 244.363281 1715786425.1262
MEM 253.527344 1715786425.2266
MEM 244.269531 1715786425.3270
MEM 259.500000 1715786425.4275
MEM 258.546875 1715786425.5277
MEM 258.945312 1715786425.6280
MEM 265.722656 1715786425.7283
MEM 272.605469 1715786425.8286
MEM 263.722656 1715786425.9290
MEM 315.890625 1715786426.0293
MEM 373.066406 1715786426.1296
