CMDLINE python3 nlogn.py
MEM 0.500000 1715786376.7008
MEM 17.625000 1715786376.8011
MEM 26.625000 1715786376.9015
MEM 35.750000 1715786377.0018
MEM 44.875000 1715786377.1020
MEM 53.875000 1715786377.2023
MEM 62.875000 1715786377.3026
MEM 71.750000 1715786377.4029
MEM 81.125000 1715786377.5032
MEM 90.375000 1715786377.6034
MEM 99.500000 1715786377.7037
MEM 108.750000 1715786377.8039
MEM 117.875000 1715786377.9042
MEM 126.875000 1715786378.0045
MEM 135.875000 1715786378.1047
MEM 144.750000 1715786378.2050
MEM 153.625000 1715786378.3054
MEM 162.625000 1715786378.4057
MEM 171.500000 1715786378.5061
MEM 180.250000 1715786378.6064
MEM 189.250000 1715786378.7067
MEM 198.125000 1715786378.8070
MEM 207.125000 1715786378.9074
MEM 216.000000 1715786379.0077
MEM 224.875000 1715786379.1080
MEM 233.750000 1715786379.2084
MEM 242.875000 1715786379.3087
MEM 251.750000 1715786379.4090
MEM 260.750000 1715786379.5093
MEM 269.875000 1715786379.6095
MEM 279.000000 1715786379.7098
MEM 288.250000 1715786379.8100
MEM 297.375000 1715786379.9103
MEM 306.375000 1715786380.0105
MEM 315.500000 1715786380.1108
MEM 324.625000 1715786380.2111
MEM 333.875000 1715786380.3114
MEM 343.000000 1715786380.4117
MEM 352.250000 1715786380.5119
MEM 361.375000 1715786380.6122
MEM 370.500000 1715786380.7124
MEM 379.750000 1715786380.8127
MEM 388.875000 1715786380.9129
MEM 391.625000 1715786381.0132
MEM 391.707031 1715786381.1134
MEM 391.707031 1715786381.2135
MEM 391.832031 1715786381.3137
MEM 391.707031 1715786381.4139
MEM 391.832031 1715786381.5141
MEM 392.082031 1715786381.6143
MEM 392.082031 1715786381.7144
MEM 391.707031 1715786381.8148
MEM 391.832031 1715786381.9151
MEM 392.082031 1715786382.0154
MEM 392.082031 1715786382.1158
MEM 392.707031 1715786382.2161
MEM 392.707031 1715786382.3164
MEM 392.707031 1715786382.4166
MEM 392.707031 1715786382.5169
MEM 393.832031 1715786382.6172
MEM 396.390625 1715786382.7177
MEM 391.640625 1715786382.8181
MEM 391.765625 1715786382.9185
MEM 392.140625 1715786383.0188
MEM 392.140625 1715786383.1192
MEM 392.640625 1715786383.2196
MEM 392.640625 1715786383.3198
MEM 392.640625 1715786383.4202
MEM 392.640625 1715786383.5206
MEM 393.890625 1715786383.6210
MEM 393.890625 1715786383.7214
MEM 393.890625 1715786383.8217
MEM 393.890625 1715786383.9220
MEM 393.890625 1715786384.0224
MEM 393.890625 1715786384.1227
MEM 393.890625 1715786384.2229
MEM 393.890625 1715786384.3232
MEM 393.890625 1715786384.4234
MEM 393.890625 1715786384.5237
MEM 396.265625 1715786384.6239
MEM 401.132812 1715786384.7243
MEM 401.132812 1715786384.8248
MEM 391.632812 1715786384.9251
MEM 391.757812 1715786385.0254
MEM 392.007812 1715786385.1256
MEM 392.007812 1715786385.2259
MEM 392.632812 1715786385.3262
MEM 392.632812 1715786385.4265
MEM 392.632812 1715786385.5268
MEM 392.632812 1715786385.6270
MEM 392.632812 1715786385.7273
MEM 393.882812 1715786385.8277
MEM 393.882812 1715786385.9279
MEM 393.882812 1715786386.0282
MEM 393.882812 1715786386.1285
MEM 393.882812 1715786386.2288
MEM 393.882812 1715786386.3291
MEM 393.882812 1715786386.4294
MEM 393.882812 1715786386.5297
MEM 393.882812 1715786386.6301
MEM 396.257812 1715786386.7304
MEM 396.257812 1715786386.8309
MEM 396.257812 1715786386.9589
MEM 396.257812 1715786387.0593
MEM 396.257812 1715786387.1596
