CMDLINE python3 n.py
MEM 1.250000 1715786355.7174
MEM 17.750000 1715786355.8176
MEM 27.125000 1715786355.9179
MEM 36.125000 1715786356.0183
MEM 45.250000 1715786356.1186
MEM 54.375000 1715786356.2189
MEM 63.500000 1715786356.3192
MEM 72.000000 1715786356.4195
MEM 80.375000 1715786356.5198
MEM 89.000000 1715786356.6201
MEM 97.750000 1715786356.7205
MEM 106.375000 1715786356.8208
MEM 115.125000 1715786356.9210
MEM 123.875000 1715786357.0213
MEM 132.625000 1715786357.1216
MEM 141.250000 1715786357.2219
MEM 150.000000 1715786357.3221
MEM 158.875000 1715786357.4223
MEM 167.750000 1715786357.5226
MEM 176.625000 1715786357.6229
MEM 185.500000 1715786357.7232
MEM 194.250000 1715786357.8235
MEM 203.250000 1715786357.9238
MEM 212.000000 1715786358.0241
MEM 220.500000 1715786358.1244
MEM 229.000000 1715786358.2247
MEM 237.500000 1715786358.3250
MEM 246.125000 1715786358.4253
MEM 254.750000 1715786358.5256
MEM 263.250000 1715786358.6259
MEM 271.875000 1715786358.7262
MEM 280.500000 1715786358.8265
MEM 289.250000 1715786358.9269
MEM 298.125000 1715786359.0272
MEM 307.000000 1715786359.1274
MEM 315.875000 1715786359.2277
MEM 324.750000 1715786359.3280
MEM 333.625000 1715786359.4284
MEM 342.500000 1715786359.5288
MEM 351.375000 1715786359.6291
MEM 360.250000 1715786359.7294
MEM 369.250000 1715786359.8297
MEM 378.125000 1715786359.9300
MEM 387.000000 1715786360.0303
MEM 391.250000 1715786360.1306
MEM 467.625000 1715786360.2310
MEM 467.625000 1715786360.3313
MEM 467.625000 1715786360.4317
MEM 467.625000 1715786360.5321
MEM 467.625000 1715786360.6323
MEM 467.625000 1715786360.7327
MEM 467.625000 1715786360.8331
MEM 467.625000 1715786360.9334
MEM 467.625000 1715786361.0338
MEM 467.625000 1715786361.1342
MEM 467.625000 1715786361.2345
MEM 467.625000 1715786361.3349
MEM 469.875000 1715786361.4353
MEM 514.375000 1715786361.5357
MEM 559.250000 1715786361.6361
MEM 604.375000 1715786361.7364
MEM 649.750000 1715786361.8368
MEM 694.875000 1715786361.9370
MEM 740.000000 1715786362.0373
MEM 850.250000 1715786362.1377
MEM 850.250000 1715786362.2380
MEM 850.250000 1715786362.3384
MEM 850.250000 1715786362.4387
MEM 850.250000 1715786362.5391
MEM 850.250000 1715786362.6394
MEM 850.250000 1715786362.7398
MEM 850.250000 1715786362.8402
MEM 850.250000 1715786362.9405
MEM 850.250000 1715786363.0409
MEM 850.250000 1715786363.1412
MEM 850.250000 1715786363.2416
MEM 850.250000 1715786363.3420
MEM 850.250000 1715786363.4424
MEM 850.250000 1715786363.5428
MEM 850.250000 1715786363.6433
MEM 850.250000 1715786363.7436
MEM 850.250000 1715786363.8440
MEM 850.250000 1715786363.9443
MEM 850.250000 1715786364.0446
MEM 850.250000 1715786364.1451
MEM 850.250000 1715786364.2454
MEM 850.250000 1715786364.3458
MEM 850.250000 1715786364.4461
MEM 850.250000 1715786364.5466
MEM 850.250000 1715786364.6471
MEM 850.250000 1715786364.7475
MEM 850.250000 1715786364.8479
MEM 850.250000 1715786364.9484
MEM 850.250000 1715786365.0488
MEM 850.250000 1715786365.1491
MEM 850.250000 1715786365.2496
MEM 850.250000 1715786365.3501
MEM 850.250000 1715786365.4504
MEM 850.250000 1715786365.5508
MEM 850.250000 1715786365.6511
MEM 850.250000 1715786365.7515
MEM 850.250000 1715786365.8519
MEM 850.250000 1715786365.9523
MEM 850.250000 1715786366.0526
MEM 850.250000 1715786366.1530
MEM 850.250000 1715786366.2534
MEM 850.250000 1715786366.3537
MEM 850.250000 1715786366.4541
MEM 850.250000 1715786366.5543
MEM 850.250000 1715786366.6546
MEM 850.250000 1715786366.7550
MEM 850.250000 1715786366.8554
MEM 850.250000 1715786366.9557
MEM 850.250000 1715786367.0561
MEM 850.250000 1715786367.1565
MEM 850.250000 1715786367.2569
MEM 850.250000 1715786367.3572
MEM 850.250000 1715786367.4575
MEM 850.250000 1715786367.5579
MEM 850.250000 1715786367.6584
MEM 850.250000 1715786367.7588
MEM 850.250000 1715786367.8592
MEM 469.488281 1715786367.9595
MEM 393.316406 1715786368.0600
MEM 289.960938 1715786368.1603
