CMDLINE ./nsquare
MEM 0.625000 1715786752.0043
MEM 4.199219 1715786752.1046
MEM 4.199219 1715786752.2050
MEM 4.199219 1715786752.3054
MEM 4.199219 1715786752.4057
MEM 4.199219 1715786752.5060
MEM 4.199219 1715786752.6064
MEM 4.199219 1715786752.7068
MEM 4.199219 1715786752.8071
MEM 4.199219 1715786752.9073
MEM 4.199219 1715786753.0076
MEM 4.199219 1715786753.1080
MEM 4.199219 1715786753.2083
MEM 4.199219 1715786753.3086
MEM 4.199219 1715786753.4089
MEM 4.199219 1715786753.5092
MEM 4.199219 1715786753.6096
MEM 4.199219 1715786753.7099
MEM 4.199219 1715786753.8102
MEM 4.199219 1715786753.9105
MEM 4.199219 1715786754.0108
MEM 4.199219 1715786754.1111
MEM 4.199219 1715786754.2114
MEM 4.199219 1715786754.3117
MEM 4.199219 1715786754.4120
MEM 4.199219 1715786754.5123
MEM 4.199219 1715786754.6126
MEM 4.199219 1715786754.7129
MEM 4.199219 1715786754.8132
MEM 4.199219 1715786754.9135
MEM 4.199219 1715786755.0139
MEM 4.199219 1715786755.1143
MEM 4.199219 1715786755.2146
MEM 4.199219 1715786755.3149
MEM 4.199219 1715786755.4152
MEM 4.199219 1715786755.5156
MEM 4.199219 1715786755.6159
MEM 4.199219 1715786755.7162
MEM 4.199219 1715786755.8166
MEM 4.199219 1715786755.9170
MEM 4.199219 1715786756.0173
MEM 4.199219 1715786756.1177
MEM 4.199219 1715786756.2180
MEM 4.199219 1715786756.3185
MEM 4.199219 1715786756.4190
MEM 4.199219 1715786756.5193
MEM 4.199219 1715786756.6196
MEM 4.199219 1715786756.7199
MEM 4.199219 1715786756.8202
MEM 4.199219 1715786756.9206
MEM 4.199219 1715786757.0211
MEM 4.199219 1715786757.1215
MEM 4.199219 1715786757.2219
MEM 4.199219 1715786757.3224
MEM 4.199219 1715786757.4228
MEM 4.199219 1715786757.5232
MEM 4.199219 1715786757.6234
MEM 4.199219 1715786757.7237
MEM 4.199219 1715786757.8240
MEM 4.199219 1715786757.9244
MEM 4.199219 1715786758.0247
MEM 4.199219 1715786758.1252
MEM 4.199219 1715786758.2256
MEM 4.199219 1715786758.3261
MEM 4.199219 1715786758.4265
MEM 4.199219 1715786758.5270
MEM 4.199219 1715786758.6274
MEM 4.199219 1715786758.7278
MEM 4.199219 1715786758.8283
MEM 4.199219 1715786758.9288
MEM 4.199219 1715786759.0292
MEM 4.199219 1715786759.1298
MEM 4.199219 1715786759.2303
MEM 4.199219 1715786759.3309
MEM 4.199219 1715786759.4314
MEM 4.199219 1715786759.5319
MEM 4.199219 1715786759.6323
MEM 4.199219 1715786759.7329
MEM 4.199219 1715786759.8334
MEM 4.199219 1715786759.9340
MEM 4.199219 1715786760.0344
MEM 4.199219 1715786760.1350
MEM 4.199219 1715786760.2355
MEM 4.199219 1715786760.3360
MEM 4.199219 1715786760.4365
MEM 4.199219 1715786760.5369
MEM 4.199219 1715786760.6374
MEM 4.199219 1715786760.7378
MEM 4.199219 1715786760.8383
MEM 4.199219 1715786760.9388
MEM 4.199219 1715786761.0393
MEM 4.199219 1715786761.1397
MEM 4.199219 1715786761.2402
MEM 4.199219 1715786761.3406
MEM 4.199219 1715786761.4410
MEM 4.199219 1715786761.5413
MEM 4.199219 1715786761.6417
MEM 4.199219 1715786761.7419
MEM 4.199219 1715786761.8422
MEM 4.199219 1715786761.9424
MEM 4.199219 1715786762.0429
MEM 4.199219 1715786762.1433
MEM 4.199219 1715786762.2439
MEM 4.199219 1715786762.3444
MEM 4.199219 1715786762.4448
MEM 4.199219 1715786762.5452
MEM 4.199219 1715786762.6457
MEM 4.199219 1715786762.7460
MEM 4.199219 1715786762.8463
MEM 4.199219 1715786762.9466
MEM 4.199219 1715786763.0469
MEM 4.199219 1715786763.1472
MEM 4.199219 1715786763.2475
MEM 4.199219 1715786763.3477
MEM 4.199219 1715786763.4481
MEM 4.199219 1715786763.5484
MEM 4.199219 1715786763.6487
MEM 4.199219 1715786763.7490
MEM 4.199219 1715786763.8493
MEM 4.199219 1715786763.9495
MEM 4.199219 1715786764.0497
MEM 4.199219 1715786764.1500
MEM 4.199219 1715786764.2502
MEM 4.199219 1715786764.3505
MEM 4.199219 1715786764.4508
MEM 4.199219 1715786764.5511
MEM 4.199219 1715786764.6513
MEM 4.199219 1715786764.7516
MEM 4.199219 1715786764.8519
MEM 4.199219 1715786764.9520
MEM 4.199219 1715786765.0523
MEM 4.199219 1715786765.1525
MEM 4.199219 1715786765.2528
MEM 4.199219 1715786765.3530
MEM 4.199219 1715786765.4533
MEM 4.199219 1715786765.5536
MEM 4.199219 1715786765.6538
MEM 4.199219 1715786765.7540
MEM 4.199219 1715786765.8543
MEM 4.199219 1715786765.9545
MEM 4.199219 1715786766.0548
MEM 4.199219 1715786766.1551
MEM 4.199219 1715786766.2554
MEM 4.199219 1715786766.3556
MEM 4.199219 1715786766.4560
MEM 4.199219 1715786766.5562
MEM 4.199219 1715786766.6565
MEM 4.199219 1715786766.7568
MEM 4.199219 1715786766.8570
MEM 4.199219 1715786766.9575
MEM 4.199219 1715786767.0577
MEM 4.199219 1715786767.1580
MEM 4.199219 1715786767.2582
MEM 4.199219 1715786767.3585
MEM 4.199219 1715786767.4589
MEM 4.199219 1715786767.5592
MEM 4.199219 1715786767.6596
MEM 4.199219 1715786767.7599
MEM 4.199219 1715786767.8602
MEM 4.199219 1715786767.9604
MEM 4.199219 1715786768.0607
MEM 4.199219 1715786768.1610
MEM 4.199219 1715786768.2612
MEM 4.199219 1715786768.3616
MEM 4.199219 1715786768.4618
MEM 4.199219 1715786768.5620
MEM 4.199219 1715786768.6623
MEM 4.199219 1715786768.7626
MEM 4.199219 1715786768.8629
MEM 4.199219 1715786768.9632
MEM 4.199219 1715786769.0635
MEM 4.199219 1715786769.1637
MEM 4.199219 1715786769.2640
MEM 4.199219 1715786769.3643
MEM 4.199219 1715786769.4646
MEM 4.199219 1715786769.5649
MEM 4.199219 1715786769.6651
MEM 4.199219 1715786769.7654
MEM 4.199219 1715786769.8657
MEM 4.199219 1715786769.9659
MEM 4.199219 1715786770.0661
MEM 4.199219 1715786770.1664
MEM 4.199219 1715786770.2666
MEM 4.199219 1715786770.3668
MEM 4.199219 1715786770.4670
