CMDLINE java nsquare
MEM 0.375000 1715786866.0850
MEM 40.738281 1715786866.1853
MEM 40.738281 1715786866.2855
MEM 40.738281 1715786866.3858
MEM 40.738281 1715786866.4860
MEM 40.738281 1715786866.5863
MEM 40.738281 1715786866.6867
MEM 40.738281 1715786866.7870
MEM 40.738281 1715786866.8873
MEM 40.738281 1715786866.9876
MEM 40.738281 1715786867.0880
MEM 40.738281 1715786867.1883
MEM 40.738281 1715786867.2885
MEM 40.738281 1715786867.3889
MEM 40.738281 1715786867.4892
MEM 40.738281 1715786867.5894
MEM 40.738281 1715786867.6896
MEM 40.738281 1715786867.7898
MEM 40.738281 1715786867.8901
MEM 40.738281 1715786867.9903
MEM 40.738281 1715786868.0906
MEM 40.738281 1715786868.1908
MEM 40.738281 1715786868.2910
MEM 40.738281 1715786868.3911
MEM 40.738281 1715786868.4913
MEM 40.738281 1715786868.5915
MEM 40.738281 1715786868.6917
MEM 40.738281 1715786868.7918
MEM 40.738281 1715786868.8920
MEM 40.738281 1715786868.9921
MEM 40.738281 1715786869.0923
MEM 40.738281 1715786869.1924
MEM 40.738281 1715786869.2925
MEM 40.738281 1715786869.3927
MEM 40.738281 1715786869.4928
MEM 40.738281 1715786869.5930
MEM 40.738281 1715786869.6932
MEM 40.738281 1715786869.7933
MEM 40.738281 1715786869.8935
MEM 40.738281 1715786869.9937
MEM 40.738281 1715786870.0941
MEM 40.738281 1715786870.1945
MEM 40.738281 1715786870.2949
MEM 40.738281 1715786870.3953
MEM 40.738281 1715786870.4957
MEM 40.738281 1715786870.5961
MEM 40.738281 1715786870.6966
MEM 40.738281 1715786870.7970
MEM 40.738281 1715786870.8974
MEM 40.738281 1715786870.9978
MEM 40.738281 1715786871.0982
MEM 40.863281 1715786871.1987
MEM 40.863281 1715786871.2991
MEM 40.863281 1715786871.3995
MEM 40.863281 1715786871.5000
MEM 40.863281 1715786871.6004
MEM 40.863281 1715786871.7009
MEM 40.863281 1715786871.8013
MEM 40.863281 1715786871.9018
MEM 40.863281 1715786872.0022
MEM 40.863281 1715786872.1026
MEM 40.863281 1715786872.2031
MEM 40.863281 1715786872.3035
MEM 40.863281 1715786872.4038
MEM 40.863281 1715786872.5043
MEM 40.863281 1715786872.6047
MEM 40.863281 1715786872.7051
MEM 40.863281 1715786872.8056
MEM 40.863281 1715786872.9059
MEM 40.863281 1715786873.0064
MEM 40.863281 1715786873.1068
MEM 40.863281 1715786873.2073
MEM 40.863281 1715786873.3078
MEM 40.863281 1715786873.4083
MEM 40.863281 1715786873.5087
MEM 40.863281 1715786873.6092
MEM 40.863281 1715786873.7097
MEM 40.863281 1715786873.8102
MEM 40.863281 1715786873.9107
MEM 40.863281 1715786874.0112
MEM 40.863281 1715786874.1115
MEM 40.863281 1715786874.2120
MEM 40.863281 1715786874.3124
MEM 40.863281 1715786874.4129
MEM 40.863281 1715786874.5133
MEM 40.863281 1715786874.6137
MEM 40.863281 1715786874.7142
MEM 40.863281 1715786874.8147
MEM 40.863281 1715786874.9151
MEM 40.863281 1715786875.0155
MEM 40.863281 1715786875.1160
MEM 40.863281 1715786875.2165
MEM 40.863281 1715786875.3170
MEM 40.863281 1715786875.4175
MEM 40.863281 1715786875.5179
MEM 40.863281 1715786875.6184
MEM 40.863281 1715786875.7189
MEM 40.863281 1715786875.8194
MEM 40.863281 1715786875.9199
MEM 40.863281 1715786876.0204
MEM 40.863281 1715786876.1208
MEM 40.863281 1715786876.2213
MEM 40.863281 1715786876.3218
MEM 40.863281 1715786876.4223
MEM 40.863281 1715786876.5227
MEM 40.863281 1715786876.6232
MEM 40.863281 1715786876.7235
MEM 40.863281 1715786876.8240
MEM 40.863281 1715786876.9245
MEM 40.863281 1715786877.0250
MEM 40.863281 1715786877.1254
MEM 40.863281 1715786877.2259
MEM 40.863281 1715786877.3264
MEM 40.863281 1715786877.4269
MEM 40.863281 1715786877.5273
MEM 40.863281 1715786877.6277
MEM 40.863281 1715786877.7282
MEM 40.863281 1715786877.8286
MEM 40.863281 1715786877.9291
MEM 40.863281 1715786878.0296
MEM 40.863281 1715786878.1301
MEM 40.863281 1715786878.2306
MEM 40.863281 1715786878.3310
MEM 40.863281 1715786878.4315
MEM 40.863281 1715786878.5319
MEM 40.863281 1715786878.6323
MEM 40.863281 1715786878.7328
MEM 40.863281 1715786878.8333
MEM 40.863281 1715786878.9339
MEM 40.863281 1715786879.0342
MEM 40.863281 1715786879.1345
MEM 40.863281 1715786879.2347
MEM 40.863281 1715786879.3350
MEM 40.863281 1715786879.4353
MEM 40.863281 1715786879.5355
MEM 40.863281 1715786879.6358
MEM 40.863281 1715786879.7361
MEM 40.863281 1715786879.8363
MEM 40.863281 1715786879.9365
MEM 40.863281 1715786880.0368
MEM 40.863281 1715786880.1371
MEM 40.863281 1715786880.2373
MEM 40.863281 1715786880.3374
MEM 40.863281 1715786880.4377
MEM 40.863281 1715786880.5380
MEM 40.863281 1715786880.6383
MEM 40.863281 1715786880.7386
MEM 40.863281 1715786880.8389
MEM 40.863281 1715786880.9391
MEM 40.863281 1715786881.0394
MEM 40.863281 1715786881.1397
MEM 40.863281 1715786881.2399
MEM 40.863281 1715786881.3402
MEM 40.863281 1715786881.4405
MEM 40.863281 1715786881.5407
MEM 40.863281 1715786881.6410
MEM 40.863281 1715786881.7413
MEM 40.863281 1715786881.8416
MEM 40.863281 1715786881.9419
MEM 40.863281 1715786882.0421
MEM 40.863281 1715786882.1425
MEM 40.863281 1715786882.2427
MEM 40.863281 1715786882.3430
MEM 40.863281 1715786882.4433
MEM 40.863281 1715786882.5436
MEM 40.863281 1715786882.6439
MEM 40.863281 1715786882.7441
MEM 40.863281 1715786882.8443
MEM 40.863281 1715786882.9446
MEM 40.863281 1715786883.0449
MEM 40.863281 1715786883.1451
MEM 40.863281 1715786883.2454
MEM 40.863281 1715786883.3457
MEM 40.863281 1715786883.4459
MEM 40.863281 1715786883.5463
MEM 40.863281 1715786883.6466
MEM 40.863281 1715786883.7469
MEM 40.863281 1715786883.8472
MEM 40.863281 1715786883.9474
MEM 40.863281 1715786884.0477
MEM 40.863281 1715786884.1480
MEM 40.863281 1715786884.2483
MEM 40.863281 1715786884.3486
MEM 40.863281 1715786884.4488
MEM 40.863281 1715786884.5491
MEM 40.863281 1715786884.6494
MEM 40.863281 1715786884.7496
MEM 40.863281 1715786884.8499
MEM 40.863281 1715786884.9502
MEM 40.863281 1715786885.0504
MEM 40.863281 1715786885.1505
MEM 40.863281 1715786885.2508
MEM 40.863281 1715786885.3511
MEM 40.863281 1715786885.4513
MEM 40.863281 1715786885.5515
MEM 40.863281 1715786885.6518
MEM 40.863281 1715786885.7521
MEM 40.863281 1715786885.8524
MEM 40.863281 1715786885.9527
MEM 40.863281 1715786886.0530
MEM 40.863281 1715786886.1533
MEM 40.863281 1715786886.2536
MEM 40.863281 1715786886.3538
MEM 40.863281 1715786886.4541
MEM 40.863281 1715786886.5545
MEM 40.863281 1715786886.6548
MEM 40.863281 1715786886.7551
MEM 40.863281 1715786886.8553
MEM 40.863281 1715786886.9556
MEM 40.863281 1715786887.0559
MEM 40.863281 1715786887.1562
MEM 40.863281 1715786887.2565
MEM 40.863281 1715786887.3567
MEM 40.863281 1715786887.4570
MEM 40.863281 1715786887.5573
MEM 40.863281 1715786887.6576
MEM 40.863281 1715786887.7579
MEM 40.863281 1715786887.8581
MEM 40.863281 1715786887.9584
MEM 40.863281 1715786888.0587
MEM 40.863281 1715786888.1589
MEM 40.863281 1715786888.2592
MEM 40.863281 1715786888.3595
MEM 40.863281 1715786888.4597
MEM 40.863281 1715786888.5601
MEM 40.863281 1715786888.6604
MEM 40.863281 1715786888.7607
MEM 40.863281 1715786888.8610
MEM 40.863281 1715786888.9612
MEM 40.863281 1715786889.0615
MEM 40.863281 1715786889.1618
MEM 40.863281 1715786889.2621
MEM 40.863281 1715786889.3624
MEM 40.863281 1715786889.4626
MEM 40.863281 1715786889.5630
MEM 40.863281 1715786889.6632
MEM 40.863281 1715786889.7635
MEM 40.863281 1715786889.8638
MEM 40.863281 1715786889.9641
MEM 40.863281 1715786890.0643
MEM 40.863281 1715786890.1646
MEM 40.863281 1715786890.2648
MEM 40.863281 1715786890.3651
MEM 40.863281 1715786890.4653
MEM 40.863281 1715786890.5656
MEM 40.863281 1715786890.6660
MEM 40.863281 1715786890.7665
MEM 40.863281 1715786890.8669
MEM 40.863281 1715786890.9674
MEM 40.863281 1715786891.0679
MEM 40.863281 1715786891.1683
MEM 40.863281 1715786891.2688
MEM 40.863281 1715786891.3693
MEM 40.863281 1715786891.4698
MEM 40.863281 1715786891.5702
MEM 40.863281 1715786891.6707
MEM 40.863281 1715786891.7712
MEM 40.863281 1715786891.8717
MEM 40.863281 1715786891.9722
MEM 40.863281 1715786892.0726
MEM 40.863281 1715786892.1730
MEM 40.863281 1715786892.2735
MEM 40.863281 1715786892.3739
MEM 40.863281 1715786892.4744
MEM 40.863281 1715786892.5747
MEM 40.863281 1715786892.6751
MEM 40.863281 1715786892.7756
MEM 40.863281 1715786892.8761
MEM 40.863281 1715786892.9765
MEM 40.863281 1715786893.0770
MEM 40.863281 1715786893.1775
MEM 40.863281 1715786893.2780
MEM 40.863281 1715786893.3785
MEM 40.863281 1715786893.4789
MEM 40.863281 1715786893.5793
MEM 40.863281 1715786893.6796
MEM 40.863281 1715786893.7801
MEM 40.863281 1715786893.8805
MEM 40.863281 1715786893.9810
MEM 40.863281 1715786894.0814
MEM 40.863281 1715786894.1819
MEM 40.863281 1715786894.2824
MEM 40.863281 1715786894.3828
MEM 40.863281 1715786894.4832
MEM 40.863281 1715786894.5836
MEM 40.863281 1715786894.6841
MEM 40.863281 1715786894.7846
MEM 40.863281 1715786894.8850
MEM 40.863281 1715786894.9855
MEM 40.863281 1715786895.0859
MEM 40.863281 1715786895.1865
MEM 40.863281 1715786895.2869
MEM 40.863281 1715786895.3874
MEM 40.863281 1715786895.4878
MEM 40.863281 1715786895.5882
MEM 40.863281 1715786895.6887
MEM 40.863281 1715786895.7891
MEM 40.863281 1715786895.8897
MEM 40.863281 1715786895.9900
MEM 40.863281 1715786896.0903
MEM 40.863281 1715786896.1905
MEM 40.863281 1715786896.2907
MEM 40.863281 1715786896.3910
MEM 40.863281 1715786896.4912
MEM 40.863281 1715786896.5915
MEM 40.863281 1715786896.6918
MEM 40.863281 1715786896.7948
MEM 40.863281 1715786896.8951
MEM 40.863281 1715786896.9953
MEM 40.863281 1715786897.0957
MEM 40.863281 1715786897.1959
MEM 40.863281 1715786897.2961
MEM 40.863281 1715786897.3963
MEM 40.863281 1715786897.4965
MEM 40.863281 1715786897.5969
MEM 40.863281 1715786897.6971
MEM 40.863281 1715786897.7975
MEM 40.863281 1715786897.8977
MEM 40.863281 1715786897.9980
MEM 40.863281 1715786898.0983
MEM 40.863281 1715786898.1985
MEM 40.863281 1715786898.2988
MEM 40.863281 1715786898.3990
MEM 40.863281 1715786898.4992
MEM 40.863281 1715786898.5996
MEM 40.863281 1715786898.6998
MEM 40.863281 1715786898.8001
