CMDLINE node nsquare.js
MEM 0.625000 1715788721.4328
MEM 47.183594 1715788721.5331
MEM 47.183594 1715788721.6336
MEM 47.183594 1715788721.7338
MEM 47.183594 1715788721.8341
MEM 47.183594 1715788721.9344
MEM 47.183594 1715788722.0347
MEM 47.183594 1715788722.1350
MEM 47.183594 1715788722.2353
MEM 47.183594 1715788722.3357
MEM 47.183594 1715788722.4361
MEM 47.183594 1715788722.5364
MEM 47.183594 1715788722.6368
MEM 47.183594 1715788722.7371
MEM 47.183594 1715788722.8375
MEM 47.183594 1715788722.9378
MEM 47.183594 1715788723.0382
MEM 47.183594 1715788723.1385
MEM 47.183594 1715788723.2388
MEM 47.183594 1715788723.3391
MEM 47.183594 1715788723.4395
MEM 47.183594 1715788723.5398
MEM 47.183594 1715788723.6402
MEM 47.183594 1715788723.7405
MEM 47.183594 1715788723.8408
MEM 47.183594 1715788723.9412
MEM 47.183594 1715788724.0415
MEM 47.183594 1715788724.1419
MEM 47.183594 1715788724.2422
MEM 47.183594 1715788724.3427
MEM 47.183594 1715788724.4432
MEM 47.183594 1715788724.5437
MEM 47.183594 1715788724.6442
MEM 47.183594 1715788724.7446
MEM 47.183594 1715788724.8451
MEM 47.183594 1715788724.9455
MEM 47.183594 1715788725.0458
MEM 47.183594 1715788725.1462
MEM 47.183594 1715788725.2466
MEM 47.183594 1715788725.3470
MEM 47.183594 1715788725.4474
MEM 47.183594 1715788725.5478
MEM 47.183594 1715788725.6483
MEM 47.183594 1715788725.7487
MEM 47.183594 1715788725.8492
MEM 47.183594 1715788725.9497
MEM 47.183594 1715788726.0501
MEM 47.183594 1715788726.1506
MEM 47.183594 1715788726.2509
MEM 47.183594 1715788726.3513
MEM 47.183594 1715788726.4518
MEM 47.183594 1715788726.5524
MEM 47.183594 1715788726.6528
MEM 47.183594 1715788726.7531
MEM 47.183594 1715788726.8538
MEM 47.183594 1715788726.9541
MEM 47.183594 1715788727.0544
MEM 47.183594 1715788727.1548
MEM 47.183594 1715788727.2552
MEM 47.183594 1715788727.3555
MEM 47.183594 1715788727.4559
MEM 47.183594 1715788727.5562
MEM 47.183594 1715788727.6565
MEM 47.183594 1715788727.7568
MEM 47.183594 1715788727.8571
MEM 47.183594 1715788727.9573
MEM 47.183594 1715788728.0576
MEM 47.183594 1715788728.1580
MEM 47.183594 1715788728.2583
MEM 47.183594 1715788728.3586
MEM 47.183594 1715788728.4589
MEM 47.183594 1715788728.5591
MEM 47.183594 1715788728.6594
MEM 47.183594 1715788728.7597
MEM 47.183594 1715788728.8600
MEM 47.183594 1715788728.9603
MEM 47.183594 1715788729.0606
MEM 47.183594 1715788729.1609
MEM 47.183594 1715788729.2612
MEM 47.183594 1715788729.3615
MEM 47.183594 1715788729.4616
MEM 47.183594 1715788729.5618
MEM 47.183594 1715788729.6620
MEM 47.183594 1715788729.7623
MEM 47.183594 1715788729.8626
MEM 47.183594 1715788729.9629
MEM 47.183594 1715788730.0632
MEM 47.183594 1715788730.1634
MEM 47.183594 1715788730.2637
MEM 47.183594 1715788730.3639
MEM 47.183594 1715788730.4642
MEM 47.183594 1715788730.5645
MEM 47.183594 1715788730.6647
MEM 47.183594 1715788730.7649
MEM 47.183594 1715788730.8652
MEM 47.183594 1715788730.9655
MEM 47.183594 1715788731.0656
MEM 47.183594 1715788731.1658
MEM 47.183594 1715788731.2660
MEM 47.183594 1715788731.3663
MEM 47.183594 1715788731.4666
MEM 47.183594 1715788731.5668
MEM 47.183594 1715788731.6671
MEM 47.183594 1715788731.7675
MEM 47.183594 1715788731.8678
MEM 47.183594 1715788731.9681
MEM 47.183594 1715788732.0684
MEM 47.183594 1715788732.1688
MEM 47.183594 1715788732.2691
MEM 47.183594 1715788732.3695
MEM 47.183594 1715788732.4697
MEM 47.183594 1715788732.5699
MEM 47.183594 1715788732.6702
MEM 47.183594 1715788732.7705
MEM 47.183594 1715788732.8708
MEM 47.183594 1715788732.9712
MEM 47.183594 1715788733.0716
MEM 47.183594 1715788733.1719
MEM 47.183594 1715788733.2722
MEM 47.183594 1715788733.3725
MEM 47.183594 1715788733.4728
MEM 47.183594 1715788733.5732
MEM 47.183594 1715788733.6736
MEM 47.183594 1715788733.7738
MEM 47.183594 1715788733.8740
MEM 47.183594 1715788733.9742
MEM 47.183594 1715788734.0747
MEM 47.183594 1715788734.1749
MEM 47.183594 1715788734.2752
MEM 47.183594 1715788734.3755
MEM 47.183594 1715788734.4758
MEM 47.183594 1715788734.5761
MEM 47.183594 1715788734.6764
MEM 47.183594 1715788734.7768
MEM 47.183594 1715788734.8771
MEM 47.183594 1715788734.9774
MEM 47.183594 1715788735.0778
MEM 47.183594 1715788735.1781
MEM 47.183594 1715788735.2784
MEM 47.183594 1715788735.3788
MEM 47.183594 1715788735.4792
MEM 47.183594 1715788735.5796
MEM 47.183594 1715788735.6799
MEM 47.183594 1715788735.7802
MEM 47.183594 1715788735.8806
MEM 47.183594 1715788735.9810
MEM 47.183594 1715788736.0813
MEM 47.183594 1715788736.1816
MEM 47.183594 1715788736.2818
MEM 47.183594 1715788736.3821
MEM 47.183594 1715788736.4824
MEM 47.183594 1715788736.5827
MEM 47.183594 1715788736.6830
MEM 47.183594 1715788736.7834
MEM 47.183594 1715788736.8838
MEM 47.183594 1715788736.9841
MEM 47.183594 1715788737.0844
MEM 47.183594 1715788737.1848
MEM 47.183594 1715788737.2851
MEM 47.183594 1715788737.3855
MEM 47.183594 1715788737.4858
MEM 47.183594 1715788737.5860
MEM 47.183594 1715788737.6863
MEM 47.183594 1715788737.7866
MEM 47.183594 1715788737.8869
MEM 47.183594 1715788737.9873
MEM 47.183594 1715788738.0876
MEM 47.183594 1715788738.1879
MEM 47.183594 1715788738.2882
MEM 47.183594 1715788738.3884
MEM 47.183594 1715788738.4887
MEM 47.183594 1715788738.5890
MEM 47.183594 1715788738.6892
MEM 47.183594 1715788738.7895
MEM 47.183594 1715788738.8899
MEM 47.183594 1715788738.9902
MEM 47.183594 1715788739.0904
MEM 47.183594 1715788739.1908
MEM 47.183594 1715788739.2911
MEM 47.183594 1715788739.3913
MEM 47.183594 1715788739.4916
MEM 47.183594 1715788739.5918
MEM 47.183594 1715788739.6921
MEM 47.183594 1715788739.7924
