CMDLINE python3 nsquare.py
MEM 1.000000 1715786990.0213
MEM 17.250000 1715786990.1216
MEM 20.625000 1715786990.2218
MEM 20.625000 1715786990.3221
MEM 20.625000 1715786990.4226
MEM 20.625000 1715786990.5229
MEM 20.625000 1715786990.6232
MEM 20.625000 1715786990.7235
MEM 20.625000 1715786990.8239
MEM 20.625000 1715786990.9243
MEM 20.625000 1715786991.0247
MEM 20.625000 1715786991.1251
MEM 20.625000 1715786991.2253
MEM 20.625000 1715786991.3256
MEM 20.625000 1715786991.4259
MEM 20.625000 1715786991.5262
MEM 20.625000 1715786991.6264
MEM 20.625000 1715786991.7267
MEM 20.625000 1715786991.8269
MEM 20.625000 1715786991.9272
MEM 20.625000 1715786992.0276
MEM 20.625000 1715786992.1279
MEM 20.625000 1715786992.2282
MEM 20.625000 1715786992.3286
MEM 20.625000 1715786992.4290
MEM 20.625000 1715786992.5293
MEM 20.625000 1715786992.6297
MEM 20.625000 1715786992.7300
MEM 20.625000 1715786992.8304
MEM 20.625000 1715786992.9308
MEM 20.625000 1715786993.0311
MEM 20.625000 1715786993.1314
MEM 20.625000 1715786993.2317
MEM 20.625000 1715786993.3321
MEM 20.625000 1715786993.4325
MEM 20.625000 1715786993.5328
MEM 20.625000 1715786993.6332
MEM 20.625000 1715786993.7336
MEM 20.625000 1715786993.8339
MEM 20.625000 1715786993.9343
MEM 20.625000 1715786994.0346
MEM 20.625000 1715786994.1350
MEM 20.625000 1715786994.2354
MEM 20.625000 1715786994.3357
MEM 20.625000 1715786994.4360
MEM 20.625000 1715786994.5364
MEM 20.625000 1715786994.6368
MEM 20.625000 1715786994.7372
MEM 20.625000 1715786994.8375
MEM 20.625000 1715786994.9378
MEM 20.625000 1715786995.0382
MEM 20.625000 1715786995.1387
MEM 20.625000 1715786995.2391
MEM 20.625000 1715786995.3394
MEM 20.625000 1715786995.4398
MEM 20.625000 1715786995.5401
MEM 20.625000 1715786995.6405
MEM 20.625000 1715786995.7410
MEM 20.625000 1715786995.8413
MEM 20.625000 1715786995.9417
MEM 20.625000 1715786996.0420
MEM 20.625000 1715786996.1424
MEM 20.625000 1715786996.2427
MEM 20.625000 1715786996.3431
MEM 20.625000 1715786996.4435
MEM 20.625000 1715786996.5438
MEM 20.625000 1715786996.6441
MEM 20.625000 1715786996.7445
MEM 20.625000 1715786996.8448
MEM 20.625000 1715786996.9453
MEM 20.625000 1715786997.0456
MEM 20.625000 1715786997.1459
MEM 20.625000 1715786997.2463
MEM 20.625000 1715786997.3466
MEM 20.625000 1715786997.4469
MEM 20.625000 1715786997.5472
MEM 20.625000 1715786997.6474
MEM 20.625000 1715786997.7477
MEM 20.625000 1715786997.8480
MEM 20.625000 1715786997.9483
MEM 20.625000 1715786998.0486
MEM 20.625000 1715786998.1489
MEM 20.625000 1715786998.2493
MEM 20.625000 1715786998.3497
MEM 20.625000 1715786998.4500
MEM 20.625000 1715786998.5503
MEM 20.625000 1715786998.6506
MEM 20.625000 1715786998.7510
MEM 20.625000 1715786998.8514
MEM 20.625000 1715786998.9518
MEM 20.625000 1715786999.0522
MEM 20.625000 1715786999.1525
MEM 20.625000 1715786999.2528
MEM 20.625000 1715786999.3532
MEM 20.625000 1715786999.4536
MEM 20.625000 1715786999.5539
MEM 20.625000 1715786999.6543
MEM 20.625000 1715786999.7545
MEM 20.625000 1715786999.8548
MEM 20.625000 1715786999.9552
MEM 20.625000 1715787000.0556
MEM 20.625000 1715787000.1558
MEM 20.625000 1715787000.2562
MEM 20.625000 1715787000.3565
MEM 20.625000 1715787000.4569
MEM 20.625000 1715787000.5573
MEM 20.625000 1715787000.6577
MEM 20.625000 1715787000.7580
MEM 20.625000 1715787000.8584
MEM 20.625000 1715787000.9588
MEM 20.625000 1715787001.0591
MEM 20.625000 1715787001.1595
MEM 20.625000 1715787001.2598
MEM 20.625000 1715787001.3601
MEM 20.625000 1715787001.4605
MEM 20.625000 1715787001.5608
MEM 20.625000 1715787001.6612
MEM 20.625000 1715787001.7616
MEM 20.625000 1715787001.8619
MEM 20.625000 1715787001.9623
MEM 20.625000 1715787002.0626
MEM 20.625000 1715787002.1629
MEM 20.625000 1715787002.2633
MEM 20.625000 1715787002.3638
MEM 20.625000 1715787002.4642
MEM 20.625000 1715787002.5645
MEM 20.625000 1715787002.6647
MEM 20.625000 1715787002.7651
MEM 20.625000 1715787002.8655
MEM 20.625000 1715787002.9659
MEM 20.625000 1715787003.0662
MEM 20.625000 1715787003.1666
MEM 20.625000 1715787003.2669
MEM 20.625000 1715787003.3672
MEM 20.625000 1715787003.4676
MEM 20.625000 1715787003.5680
MEM 20.625000 1715787003.6683
MEM 20.625000 1715787003.7686
MEM 20.625000 1715787003.8689
MEM 20.625000 1715787003.9693
