CMDLINE python3 one.py
MEM 1.500000 1715786339.5163
MEM 18.625000 1715786339.6167
MEM 28.750000 1715786339.7169
MEM 38.875000 1715786339.8172
MEM 48.875000 1715786339.9175
MEM 59.000000 1715786340.0178
MEM 69.000000 1715786340.1181
MEM 78.875000 1715786340.2184
MEM 88.875000 1715786340.3187
MEM 99.000000 1715786340.4190
MEM 109.250000 1715786340.5193
MEM 119.375000 1715786340.6195
MEM 129.375000 1715786340.7198
MEM 139.375000 1715786340.8200
MEM 149.375000 1715786340.9203
MEM 159.250000 1715786341.0206
MEM 169.250000 1715786341.1209
MEM 179.125000 1715786341.2212
MEM 189.125000 1715786341.3215
MEM 199.125000 1715786341.4218
MEM 209.125000 1715786341.5221
MEM 219.125000 1715786341.6225
MEM 229.250000 1715786341.7228
MEM 239.500000 1715786341.8231
MEM 249.625000 1715786341.9234
MEM 259.750000 1715786342.0237
MEM 269.875000 1715786342.1240
MEM 280.000000 1715786342.2243
MEM 290.125000 1715786342.3245
MEM 300.250000 1715786342.4248
MEM 310.250000 1715786342.5251
MEM 320.250000 1715786342.6254
MEM 329.750000 1715786342.7257
MEM 339.375000 1715786342.8260
MEM 349.250000 1715786342.9263
MEM 359.000000 1715786343.0267
MEM 368.875000 1715786343.1271
MEM 379.375000 1715786343.2274
MEM 389.875000 1715786343.3277
